name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2021A 1 14MMS0607X BGC,1,2020-2021,2021,A,14MMS0607X,BGC,,,,606,,,,506,,,,100,83.50,,74
2021A 2 14MMS0608W BGC,2,2020-2021,2021,A,14MMS0608W,BGC,,,,1021,,,,682,,,,339,66.80,,76
2021A 3 14MMS0609V BGC,3,2020-2021,2021,A,14MMS0609V,BGC,,,,530,,,,404,,,,126,76.23,,76
2021A 4 14MMS0610K BGC,4,2020-2021,2021,A,14MMS0610K,BGC,,,,417,,,,417,,,,0,100.00,,67
2021A 5 14MMS0611J BGC,5,2020-2021,2021,A,14MMS0611J,BGC,,,,724,,,,499,,,,225,68.92,,83
2021A 6 14MMS0612I BGC,6,2020-2021,2021,A,14MMS0612I,BGC,,,,1232,,,,908,,,,324,73.70,,76
2021A 7 14MMS0613H BGC,7,2020-2021,2021,A,14MMS0613H,BGC,,,,1141,,,,1015,,,,126,88.96,,71
2021A 8 14MMS0647Y BGC,8,2020-2021,2021,A,14MMS0647Y,BGC,,,,920,,,,590,,,,330,64.13,,76
2021A 9 14MMS0648X BGC,9,2020-2021,2021,A,14MMS0648X,BGC,,,,698,,,,698,,,,0,100.00,,66
2021A 10 14MMS0649W BGC,10,2020-2021,2021,A,14MMS0649W,BGC,,,,922,,,,823,,,,99,89.26,,72
2021A 11 14MMS0650L BGC,11,2020-2021,2021,A,14MMS0650L,BGC,,,,695,,,,593,,,,102,85.32,,74
2021A 12 14MMS0650L 3095300007,12,2020-2021,2021,A,14MMS0650L,3095300007,,,,88,,,,88,,,,0,100.00,,69
2021A 13 14MMS0650L 3093100005,13,2020-2021,2021,A,14MMS0650L,3093100005,,,,80,,,,80,,,,0,100.00,,68
2021A 14 14MMS0646Z BGC,14,2020-2021,2021,A,14MMS0646Z,BGC,,,,380,,,,380,,,,0,100.00,,0
2021A 15 14MMS0640E BGC,15,2020-2021,2021,A,14MMS0640E,BGC,,,,201,,,,201,,,,0,100.00,,0
2021A 16 14MMS0615F BGC,16,2020-2021,2021,A,14MMS0615F,BGC,,,,1118,,,,477,,,,641,42.67,,85
2021A 17 14MMS0630Y BGC,17,2020-2021,2021,A,14MMS0630Y,BGC,,,,596,,,,399,,,,197,66.95,,75
2021A 18 14MMS0641D BGC,18,2020-2021,2021,A,14MMS0641D,BGC,,,,119,,,,119,,,,0,100.00,,67
2021A 19 14MMS0631X BGC,19,2020-2021,2021,A,14MMS0631X,BGC,,,,646,,,,646,,,,0,100.00,,60
2021A 20 14MMS0636S BGC,20,2020-2021,2021,A,14MMS0636S,BGC,,,,297,,,,297,,,,0,100.00,,65
2021A 21 14MMS0752I BGC,21,2020-2021,2021,A,14MMS0752I,BGC,,,,599,,,,286,,,,313,47.75,,83
2021A 22 14MMS0752I 3061300004,22,2020-2021,2021,A,14MMS0752I,3061300004,,,,117,,,,117,,,,0,100.00,,67
2021A 23 14MMS0752I 3000000001,23,2020-2021,2021,A,14MMS0752I,3000000001,,,,142,,,,142,,,,0,100.00,,67
2021A 24 14MMS0753H BGC,24,2020-2021,2021,A,14MMS0753H,BGC,,,,800,,,,484,,,,316,60.50,,77
2021A 25 14MMS0757D BGC,25,2020-2021,2021,A,14MMS0757D,BGC,,,,585,,,,510,,,,75,87.18,,72
2021A 26 14MMS0756E BGC,26,2020-2021,2021,A,14MMS0756E,BGC,,,,589,,,,494,,,,95,83.87,,73
2021A 27 14MMS0844Z BGC,27,2020-2021,2021,A,14MMS0844Z,BGC,,,,295,,,,295,,,,0,100.00,,64
2021A 28 14MMS0776S 3073200001,28,2020-2021,2021,A,14MMS0776S,3073200001,,,,66,,,,66,,,,0,100.00,,66
2021A 29 14MMS0776S 3071700002,29,2020-2021,2021,A,14MMS0776S,3071700002,,,,28,,,,28,,,,0,100.00,,70
2021A 30 14MMS0776S 2071200002,30,2020-2021,2021,A,14MMS0776S,2071200002,,,,34,,,,34,,,,0,100.00,,66
2021A 31 14MMS0776S 2071100002,31,2020-2021,2021,A,14MMS0776S,2071100002,,,,49,,,,49,,,,0,100.00,,63
2021A 32 14MMS0776S 2072400003,32,2020-2021,2021,A,14MMS0776S,2072400003,,,,0,,,,0,,,,0,0.00,,-
2021A 33 14MMS0776S 2072300001,33,2020-2021,2021,A,14MMS0776S,2072300001,,,,0,,,,0,,,,0,0.00,,-
2021A 34 14MMS0776S 2071400003,34,2020-2021,2021,A,14MMS0776S,2071400003,,,,47,,,,47,,,,0,100.00,,64
2021A 35 14MMS0776S 2062200013,35,2020-2021,2021,A,14MMS0776S,2062200013,,,,169,,,,169,,,,0,100.00,,65
2021A 36 14MMS0776S 2072100002,36,2020-2021,2021,A,14MMS0776S,2072100002,,,,59,,,,59,,,,0,100.00,,66
2021A 37 14MMS0799C 3042000001,37,2020-2021,2021,A,14MMS0799C,3042000001,,,,155,,,,155,,,,0,100.00,,65
2021A 38 14MMS0799C 3041100005,38,2020-2021,2021,A,14MMS0799C,3041100005,,,,90,,,,90,,,,0,100.00,,64
2021A 39 14MMS0799C 2051200001,39,2020-2021,2021,A,14MMS0799C,2051200001,,,,95,,,,95,,,,0,100.00,,66
2021A 40 14MMS0799C 2071200011,40,2020-2021,2021,A,14MMS0799C,2071200011,,,,44,,,,44,,,,0,100.00,,66
2021A 41 14MMS0799C 2062200007,41,2020-2021,2021,A,14MMS0799C,2062200007,,,,121,,,,121,,,,0,100.00,,63
2021A 42 14MMS0799C 2072000001,42,2020-2021,2021,A,14MMS0799C,2072000001,,,,33,,,,33,,,,0,100.00,,66
2021A 43 14MMS0799C 2062100003,43,2020-2021,2021,A,14MMS0799C,2062100003,,,,35,,,,35,,,,0,100.00,,64
2021A 44 14MMS0645Z BGC,44,2020-2021,2021,A,14MMS0645Z,BGC,,,,999,,,,612,,,,387,61.26,,79
2021A 45 14MMS0645Z 3042100026,45,2020-2021,2021,A,14MMS0645Z,3042100026,,,,113,,,,113,,,,0,100.00,,68
2021A 46 14MMS0645Z 3021700001,46,2020-2021,2021,A,14MMS0645Z,3021700001,,,,50,,,,50,,,,0,100.00,,66
