name,row,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
Módulo Villa Purificación-14MMS0677S,85,SEMS,14MMS0622P,14MMS0677S,Módulo Villa Purificación,Módulo Villa Purificación,Módulo,1,Regional,Región Costa Sur,Villa Purificación,Villa Purificación,Calle Marcelino García Barragán ,51,N/A,48800,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Cuzalapa-14MMS0734T,86,SEMS,14MMS0622P,14MMS0734T,Módulo Cuzalapa,Módulo Cuzalapa,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Camino Al Basurero,S/N,N/A,48954,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Tecomates-14MMS0735S,87,SEMS,14MMS0622P,14MMS0735S,Módulo Tecomates,Módulo Tecomates,Módulo,1,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Avenida Independencia,S/N,N/A,48946,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Tequesquitlán-14MMS0737Q,88,SEMS,14MMS0622P,14MMS0737Q,Módulo Tequesquitlán,Módulo Tequesquitlán,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Calle Zaragoza ,S/N,N/A,48965,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
EPR de Chapala-14MMS0651K,89,SEMS,,14MMS0651K,Escuela Preparatoria Regional de Chapala,EPR de Chapala,Escuela,1,Regional,Región Sureste,Chapala,Chapala,Avenida Teófilo Silva,1,N/A,45900,http://prepachapala.sems.udg.mx,prepachapala.sems.udg.mx,,,
Módulo Mezcala de la Asunción-14MMS0698E,90,SEMS,14MMS0651K,14MMS0698E,Módulo de Mezcala,Módulo Mezcala de la Asunción,Módulo,1,Regional,Región Ciénega,Poncitlán,Poncitlán,Calle Encarnación Rosas ,206,N/A,45970,http://prepachapala.sems.udg.mx,prepachapala.sems.udg.mx,,,
EPR de Cihuatlán-14MMS0624N,91,SEMS,,14MMS0624N,Escuela Preparatoria Regional de Cihuatlán,EPR de Cihuatlán,Escuela,1,Regional,Región Costa Sur,Cihuatlán,Cihuatlán,Calle Bachilleres ,S/N,N/A,48970,http://prepacihuatlan.sems.udg.mx,prepacihuatlan.sems.udg.mx,,,
Módulo Miguel Hidalgo-14MMS0682D,92,SEMS,14MMS0624N,14MMS0682D,Módulo Miguel Hidalgo,Módulo Miguel Hidalgo,Módulo,1,Regional,Región Costa Sur,La Huerta,La Huerta,Avenida Preparatoria ,S/N,N/A,48893,http://prepacihuatlan.sems.udg.mx,prepacihuatlan.sems.udg.mx,,,
Módulo San Patricio Melaque-14MMS0683C,93,SEMS,14MMS0624N,14MMS0683C,Módulo San Patricio Melaque,Módulo San Patricio Melaque,Módulo,1,Regional,Región Costa Sur,Cihuatlán,Cihuatlán,Prolongación Hidalgo  ,1080,N/A,48980,http://prepacihuatlan.sems.udg.mx,prepacihuatlan.sems.udg.mx,,,
EPR de Ciudad Guzmán-14MMS0626L,94,SEMS,,14MMS0626L,Escuela Preparatoria Regional de Ciudad Guzmán,EPR de Ciudad Guzmán,Escuela,1,Regional,Región Sur,Zapotlán el Grande,Zapotlán el Grande,Avenida Juan José Arreola,850,N/A,49026,http://prepaciudadguzman.sems.udg.mx,prepaciudadguzman.sems.udg.mx,,,
Módulo Copala-14MMS0758C,95,SEMS,14MMS0626L,14MMS0758C,Módulo Copala,Módulo Copala,Módulo,1,Regional,Región Sur,Tolimán,Tolimán,Calle Libertad ,S/N,N/A,49760,http://prepaciudadguzman.sems.udg.mx,prepaciudadguzman.sems.udg.mx,,,
Módulo Tolimán-14MMS0680F,96,SEMS,14MMS0626L,14MMS0680F,Módulo Tolimán,Módulo Tolimán,Módulo,1,Regional,Región Sur,Tolimán,Tolimán,Prolongación Aldama ,S/N,N/A,49750,http://prepaciudadguzman.sems.udg.mx,prepaciudadguzman.sems.udg.mx,,,
Módulo Zapotitlán de Vadillo-14MMS0681E,97,SEMS,14MMS0626L,14MMS0681E,Módulo Zapotitlán de Vadillo,Módulo Zapotitlán de Vadillo,Módulo,1,Regional,Región Sur,Zapotitlán de Vadillo,Zapotitlán de Vadillo,Calle Pedro de Gante,123,N/A,49770,http://prepaciudadguzman.sems.udg.mx,prepaciudadguzman.sems.udg.mx,,,
EPR de Cocula-14MMS0707W,98,SEMS,,14MMS0707W,Escuela Preparatoria Regional de Cocula,EPR de Cocula,Escuela,1,Regional,Región Lagunas,Cocula,Cocula,Calle Ángulo ,90,N/A,48500,http://prepacocula.sems.udg.mx,prepacocula.sems.udg.mx,,,
EPR de Colotlán-14MMS0625M,99,SEMS,,14MMS0625M,Escuela Preparatoria Regional de Colotlán,EPR de Colotlán,Escuela,1,Regional,Región Norte,Colotlán,Colotlán,Calle Benemérita Universidad de Guadalajara,2,N/A,46200,http://prepacolotlan.sems.udg.mx,prepacolotlan.sems.udg.mx,,,
Módulo Bolaños-14MMS0738P,100,SEMS,14MMS0625M,14MMS0738P,Módulo Bolaños,Módulo Bolaños,Módulo,1,Regional,Región Norte,Bolaños,Bolaños,Calle La playita,13,N/A,46130,http://prepacolotlan.sems.udg.mx,prepacolotlan.sems.udg.mx,,,
Módulo Huejúcar-14MMS0684B,101,SEMS,14MMS0625M,14MMS0684B,Módulo Huejúcar,Módulo Huejúcar,Módulo,1,Regional,Región Norte,Huejúcar,Huejúcar,Calle Jazmín ,16,N/A,46260,http://prepacolotlan.sems.udg.mx,prepacolotlan.sems.udg.mx,,,
Módulo San Martín de Bolaños-14MMS0687Z,102,SEMS,14MMS0625M,14MMS0687Z,Módulo San Martin de Bolaños,Módulo San Martín de Bolaños,Módulo,1,Regional,Región Norte,San Martín de Bolaños,San Martín de Bolaños,Calle 5 de Mayo,10,N/A,46350,http://prepacolotlan.sems.udg.mx,prepacolotlan.sems.udg.mx,,,
Módulo Villa Guerrero-14MMS0688Y,103,SEMS,14MMS0625M,14MMS0688Y,Módulo Villa Guerrero,Módulo Villa Guerrero,Módulo,1,Regional,Región Norte,Villa Guerrero,Villa Guerrero,Calle Pino Suárez,S/N,N/A,46100,http://prepacolotlan.sems.udg.mx,prepacolotlan.sems.udg.mx,,,
EPR de Degollado-14MMS0652J,104,SEMS,,14MMS0652J,Escuela Preparatoria Regional de Degollado,EPR de Degollado,Escuela,1,Regional,Región Ciénega,Degollado,Degollado,Calle Roberto Quezada Oñate,S/N,N/A,47980,http://prepadegollado.sems.udg.mx,prepadegollado.sems.udg.mx,,,
EPR de El Arenal-14MMS0718B,105,SEMS,,14MMS0718B,Escuela Preparatoria Regional de El Arenal,EPR de El Arenal,Escuela,1,Regional,Región Valles,El Arenal,El Arenal,Calle Retinto,12,N/A,45350,http://prepaelarenal.sems.udg.mx,prepaelarenal.sems.udg.mx,,,
EPR de El Grullo-14MMS0637R,106,SEMS,,14MMS0637R,Escuela Preparatoria Regional de El Grullo,EPR de El Grullo,Escuela,1,Regional,Región Sierra de Amula,El Grullo,El Grullo,Circunvalación Poniente,S/N,N/A,48740,http://prepaelgrullo.sems.udg.mx,prepaelgrullo.sems.udg.mx,,,
Módulo El Chante-14MMS0760R,107,SEMS,14MMS0637R,14MMS0760R,Módulo El Chante,Módulo El Chante,Módulo,1,Regional,Región Sierra de Amula,Autlán de Navarro,Autlán de Navarro,Calle Jesús Martínez,80,N/A,48918,http://prepaelgrullo.sems.udg.mx,prepaelgrullo.sems.udg.mx,,,
Módulo El Limón-14MMS0671Y,108,SEMS,14MMS0637R,14MMS0671Y,Módulo El Limón,Módulo El Limón,Módulo,1,Regional,Región Sierra de Amula,El Limón,El Limón,Calle Lázaro Cárdenas,50,N/A,48700,http://prepaelgrullo.sems.udg.mx,prepaelgrullo.sems.udg.mx,,,
Módulo Tonaya-14MMS0673W,109,SEMS,14MMS0637R,14MMS0673W,Módulo Tonaya,Módulo Tonaya,Módulo,1,Regional,Región Sierra de Amula,Tonaya,Tonaya,Calle Tenochtitlán ,40,N/A,48760,http://prepaelgrullo.sems.udg.mx,prepaelgrullo.sems.udg.mx,,,
Módulo Tuxcacuesco-14MMS0731W,110,SEMS,14MMS0637R,14MMS0731W,Módulo Tuxcacuesco,Módulo Tuxcacuesco,Módulo,1,Regional,Región Sierra de Amula,Tuxcacuesco,Tuxcacuesco,Prolongación Centenario ,S/N,N/A,48770,http://prepaelgrullo.sems.udg.mx,prepaelgrullo.sems.udg.mx,,,
EPR de El Salto-14MMS0654H,111,SEMS,,14MMS0654H,Escuela Preparatoria Regional de El Salto,EPR de El Salto,Escuela,1,Regional,Región Centro,El Salto,El Salto,Avenida Revolución ,80,N/A,45680,http://prepaelsalto.sems.udg.mx,prepaelsalto.sems.udg.mx,,,
Módulo Juanacatlán-14MMS0879O,112,SEMS,14MMS0654H,14MMS0879O,Módulo Juanacatlán,Módulo Juanacatlán,Módulo,1,Regional,Región Centro,Juanacatlán,Juanacatlán,Calle Juárez ,58,N/A,45880,http://prepaelsalto.sems.udg.mx,prepaelsalto.sems.udg.mx,,,
EPR de Etzatlán-14MMS0642C,113,SEMS,,14MMS0642C,Escuela Preparatoria Regional de Etzatlán,EPR de Etzatlán,Escuela,1,Regional,Región Valles,Etzatlán,Etzatlán,Calle Sinaloa Poniente,175,N/A,46500,http://prepaetzatlan.sems.udg.mx,prepaetzatlan.sems.udg.mx,,,
Módulo Oconahua-14MMS0726K,114,SEMS,14MMS0642C,14MMS0726K,Módulo Oconahua,Módulo Oconahua,Módulo,1,Regional,Región Valles,Etzatlán,Etzatlán,Calle Ramón García Preciado,20,N/A,46530,http://prepaetzatlan.sems.udg.mx,prepaetzatlan.sems.udg.mx,,,
Módulo San Marcos-14MMS0661R,115,SEMS,14MMS0642C,14MMS0661R,Módulo San Marcos,Módulo San Marcos,Módulo,1,Regional,Región Valles,San Marcos,San Marcos,Calle Constitución ,70,N/A,46540,http://prepaetzatlan.sems.udg.mx,prepaetzatlan.sems.udg.mx,,,
EPR de Huejuquilla el Alto-14MMS0685A,116,SEMS,,14MMS0685A,Escuela Preparatoria Regional de Huejuquilla el Alto,EPR de Huejuquilla el Alto,Escuela,1,Regional,Región Norte,Huejuquilla el Alto,Huejuquilla el Alto,Calle Allende,68,N/A,46000,http://prepahuejuquilla.sems.udg.mx,prepahuejuquilla.sems.udg.mx,,,
Módulo Mezquitic-14MMS0686Z,117,SEMS,14MMS0685A,14MMS0686Z,Módulo Mezquitic,Módulo Mezquitic,Módulo,1,Regional,Región Norte,Mezquitic,Mezquitic,Prolongación Ignacio Allende ,99,N/A,46040,http://prepahuejuquilla.sems.udg.mx,prepahuejuquilla.sems.udg.mx,,,
EPR Ixtlahuacán de los Membrillos-14MMS0798D,118,SEMS,,14MMS0798D,Escuela Preparatoria Regional de Ixtlahuacán de los Membrillos,EPR Ixtlahuacán de los Membrillos,Escuela,1,Regional,Región Centro,Ixtlahuacán de los Membrillos,Ixtlahuacán de los Membrillos,Circuito Real del Lago Sur,475,N/A,45877,http://prepaixtlahuacan.sems.udg.mx,prepaixtlahuacan.sems.udg.mx,,,
EPR de Jalostotitlán-14MMS0705Y,119,SEMS,,14MMS0705Y,Escuela Preparatoria Regional de Jalostotitlán,EPR de Jalostotitlán,Escuela,1,Regional,Región Altos Sur,Jalostotitlán,Jalostotitlán,Calle Ramón Corona,174,N/A,47120,http://prepajalostotitlan.sems.udg.mx,prepajalostotitlan.sems.udg.mx,,,
EPR de Jamay-14MMS0693J,120,SEMS,,14MMS0693J,Escuela Preparatoria Regional de Jamay,EPR de Jamay,Escuela,1,Regional,Región Ciénega,Jamay,Jamay,Calle Obispo Ramón Godínez,68,N/A,47900,http://prepajamay.sems.udg.mx,prepajamay.sems.udg.mx,,,
EPR de Jocotepec-14MMS0653I,121,SEMS,,14MMS0653I,Escuela Preparatoria de Jocotepec,EPR de Jocotepec,Escuela,1,Regional,Región Sureste,Jocotepec,Jocotepec,Calle Donato Guerra,105,N/A,45800,http://prepajocotepec.sems.udg.mx,prepajocotepec.sems.udg.mx,,,
Módulo Concepción de Buenos Aires-14MMS0678R,122,SEMS,14MMS0653I,14MMS0678R,Módulo Concepción de Buenos Aires,Módulo Concepción de Buenos Aires,Módulo,1,Regional,Región Sureste,Concepción de Buenos Aires,Concepción de Buenos Aires,Prolongación Ignacio S. Romo Norte,118,N/A,49170,http://prepajocotepec.sems.udg.mx,prepajocotepec.sems.udg.mx,,,
Módulo La Manzanilla de la Paz-14MMS0691L,123,SEMS,14MMS0653I,14MMS0691L,Módulo La Manzanilla de la Paz,Módulo La Manzanilla de la Paz,Módulo,1,Regional,Región Sureste,La Manzanilla de la Paz,La Manzanilla de la Paz,Prolongación Lázaro Cárdenas,549,N/A,49401,http://prepajocotepec.sems.udg.mx,prepajocotepec.sems.udg.mx,,,
Módulo Tizapán el Alto-14MMS0692K,124,SEMS,14MMS0653I,14MMS0692K,Módulo Tizapán el Alto,Módulo Tizapán el Alto,Módulo,1,Regional,Región Sureste,Tizapán el Alto,Tizapán el Alto,Calle Revolución de 1910,S/N,N/A,49400,http://prepajocotepec.sems.udg.mx,prepajocotepec.sems.udg.mx,,,
EPR de La Barca-14MMS0635T,125,SEMS,,14MMS0635T,Escuela Preparatoria Regional de La Barca,EPR de La Barca,Escuela,1,Regional,Región Ciénega,La Barca,La Barca,Calle Raymundo Vázquez Herrera,536,N/A,47910,http://prepalabarca.sems.udg.mx,prepalabarca.sems.udg.mx,,,
EPR de Lagos de Moreno-14MMS0628J,126,SEMS,,14MMS0628J,Escuela Preparatoria Regional de Lagos de Moreno,EPR de Lagos de Moreno,Escuela,1,Regional,Región Altos Norte,Lagos de Moreno,Lagos de Moreno,Calle Carlos Ramírez Ladewig,1,N/A,47460,http://prepalagosdemoreno.sems.udg.mx,prepalagosdemoreno.sems.udg.mx,,,
Módulo Encarnación de Díaz-14MMS0764N,127,SEMS,14MMS0628J,14MMS0764N,Módulo Encarnación de Díaz,Módulo Encarnación de Díaz,Módulo,1,Regional,Región Altos Norte,Encarnación de Díaz,Encarnación de Díaz,Calle La Paz ,119,N/A,47270,http://prepalagosdemoreno.sems.udg.mx,prepalagosdemoreno.sems.udg.mx,,,
Módulo Ojuelos-14MMS0697F,128,SEMS,14MMS0628J,14MMS0697F,Módulo Ojuelos,Módulo Ojuelos,Módulo,1,Regional,Región Altos Norte,Ojuelos de Jalisco,Ojuelos,Calle Benito Juárez,302,N/A,47540,http://prepalagosdemoreno.sems.udg.mx,prepalagosdemoreno.sems.udg.mx,,,
Módulo San Diego de Alejandría-14MMS0694I,129,SEMS,14MMS0628J,14MMS0694I,Módulo San Diego de Alejandría,Módulo San Diego de Alejandría,Módulo,1,Regional,Región Altos Norte,San Diego de Alejandría,San Diego de Alejandría,Avenida Jalisco ,S/N,N/A,47590,http://prepalagosdemoreno.sems.udg.mx,prepalagosdemoreno.sems.udg.mx,,,
Módulo Unión de San Antonio-14MMS0695H,130,SEMS,14MMS0628J,14MMS0695H,Módulo Unión de San Antonio,Módulo Unión de San Antonio,Módulo,1,Regional,Región Altos Norte,Unión de San Antonio,Unión de San Antonio,Avenida Las Californias,S/N,N/A,47570,http://prepalagosdemoreno.sems.udg.mx,prepalagosdemoreno.sems.udg.mx,,,
Módulo Villa Hidalgo-14MMS0696G,131,SEMS,14MMS0628J,14MMS0696G,Módulo Villa Hidalgo,Módulo Villa Hidalgo,Módulo,1,Regional,Región Altos Norte,Villa Hidalgo,Villa Hidalgo,Calle Alfonso González,1,N/A,47250,http://prepalagosdemoreno.sems.udg.mx,prepalagosdemoreno.sems.udg.mx,,,
EPR Mazamitla-14MMS0722O,132,SEMS,,14MMS0722O,Escuela Preparatoria Regional de Mazamitla,EPR Mazamitla,Escuela,1,Regional,Región Sureste,Mazamitla,Mazamitla,Privada Morelos,1,N/A,49500,http://prepamazamitla.sems.udg.mx,prepamazamitla.sems.udg.mx,,,
EPR de Puerto Vallarta-14MMS0634U,133,SEMS,,14MMS0634U,Escuela Preparatoria Regional de Puerto Vallarta,EPR de Puerto Vallarta,Escuela,1,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,Puerto Vallarta,Calle 21 de Marzo,500,N/A,48290,http://prepavallarta.sems.udg.mx,prepavallarta.sems.udg.mx,,,
Módulo El Tuito-14MMS0700C,134,SEMS,14MMS0634U,14MMS0700C,Módulo El Tuito,Módulo El Tuito,Módulo,1,Regional,Región Costa-Sierra Occidental,Cabo Corrientes,Cabo Corrientes,Carretera Barra de Navidad,Km 167.3,N/A,48400,http://prepavallarta.sems.udg.mx,prepavallarta.sems.udg.mx,,,
Módulo Ixtapa-14MMS0701B,135,SEMS,14MMS0634U,14MMS0701B,Módulo Ixtapa,Módulo Ixtapa,Módulo,1,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,Puerto Vallarta,Calle Vicente Guerrero,481,N/A,48280,http://prepavallarta.sems.udg.mx,prepavallarta.sems.udg.mx,,,
Módulo Morelos-14MMS0702A,136,SEMS,14MMS0634U,14MMS0702A,Módulo Morelos,Módulo Morelos,Módulo,1,Regional,Región Costa Sur,Tomatlán,Tomatlán,Calle Juárez ,25,N/A,48495,http://prepavallarta.sems.udg.mx,prepavallarta.sems.udg.mx,,,
Módulo Pino Suárez-14MMS0703Z,137,SEMS,14MMS0634U,14MMS0703Z,Módulo Pino Suárez,Módulo Pino Suárez,Módulo,1,Regional,Región Costa Sur,Tomatlán,Tomatlán,Avenida 16 de septiembre,S/N,N/A,48450,http://prepavallarta.sems.udg.mx,prepavallarta.sems.udg.mx,,,
Módulo Tomatlán-14MMS0704Z,138,SEMS,14MMS0634U,14MMS0704Z,Módulo Tomatlán,Módulo Tomatlán,Módulo,1,Regional,Región Costa Sur,Tomatlán,Tomatlán,Calle 20 de Noviembre,500,N/A,48450,http://prepavallarta.sems.udg.mx,prepavallarta.sems.udg.mx,,,
EPR de San Juan de los Lagos-14MMS0629I,139,SEMS,,14MMS0629I,Escuela Preparatoria Regional de San Juan de los Lagos,EPR de San Juan de los Lagos,Escuela,1,Regional,Región Altos Norte,San Juan de los Lagos,San Juan de los Lagos,Calle Fray Antonio de Segovia,S/N,N/A,47000,http://prepasanjuan.sems.udg.mx,prepasanjuan.sems.udg.mx,,,
Módulo Teocaltiche-14MMS0769I,140,SEMS,14MMS0629I,14MMS0769I,Módulo Teocaltiche,Módulo Teocaltiche,Módulo,1,Regional,Región Altos Norte,Teocaltiche,Teocaltiche,Calle Juárez ,134,N/A,47236,http://prepasanjuan.sems.udg.mx,prepasanjuan.sems.udg.mx,,,
EPR de San Martín Hidalgo-14MMS0644A,141,SEMS,,14MMS0644A,Escuela Preparatoria Regional de San Martín Hidalgo,EPR de San Martín Hidalgo,Escuela,1,Regional,Región Lagunas,San Martín Hidalgo,San Martín Hidalgo,Calle Alameda al Panteón,250,N/A,46700,http://prepasanmartin.sems.udg.mx,prepasanmartin.sems.udg.mx,,,
Módulo Buenavista-14MMS0739O,142,SEMS,14MMS0644A,14MMS0739O,Módulo Buenavista,Módulo Buenavista,Módulo,1,Regional,Región Lagunas,San Martín Hidalgo,San Martín Hidalgo,Calle Vicente Guerrero,7,N/A,46775,http://prepasanmartin.sems.udg.mx,prepasanmartin.sems.udg.mx,,,
EPR de San Miguel el Alto-14MMS0706X,143,SEMS,,14MMS0706X,Escuela Preparatoria Regional de San Miguel el Alto,EPR de San Miguel el Alto,Escuela,1,Regional,Región Altos Sur,San Miguel el Alto,San Miguel el Alto,Prolongación Medina de la Torre,178,N/A,47140,http://prepasanmiguel.sems.udg.mx,prepasanmiguel.sems.udg.mx,,,
Módulo San Julián-14MMS0714F,144,SEMS,14MMS0706X,14MMS0714F,Módulo San Julián,Módulo San Julián,Módulo,1,Regional,Región Altos Sur,San Julián,San Julián,Calle Huntington Park,130,N/A,47170,http://prepasanmiguel.sems.udg.mx,prepasanmiguel.sems.udg.mx,,,
EPR de Santa Anita-14MMS0759B,145,SEMS,,14MMS0759B,Escuela Preparatoria Regional de Santa Anita,EPR de Santa Anita,Escuela,1,Regional,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Universidad ,1,N/A,45600,http://prepasantaanita.sems.udg.mx,prepasantaanita.sems.udg.mx,,,
EPR de Sayula-14MMS0627K,146,SEMS,,14MMS0627K,Escuela Preparatoria Regional de Sayula,EPR de Sayula,Escuela,1,Regional,Región Lagunas,Sayula,Sayula,Calle Manuel Ávila Camacho Oriente ,193,N/A,49300,http://prepasayula.sems.udg.mx,prepasayula.sems.udg.mx,,,
Módulo Amacueca-14MMS0754G,147,SEMS,14MMS0627K,14MMS0754G,Módulo Amacueca,Módulo Amacueca,Módulo,1,Regional,Región Lagunas,Amacueca,Amacueca,Calle 16 de Septiembre,55,N/A,49370,http://prepasayula.sems.udg.mx,prepasayula.sems.udg.mx,,,
Módulo San Gabriel-14MMS0709U,148,SEMS,14MMS0627K,14MMS0709U,Módulo San Gabriel,Módulo San Gabriel,Módulo,1,Regional,Región Sur,San Gabriel,San Gabriel,Carretera San Gabriel - Sayula ,121,N/A,49700,http://prepasayula.sems.udg.mx,prepasayula.sems.udg.mx,,,
Módulo Tapalpa-14MMS0710J,149,SEMS,14MMS0627K,14MMS0710J,Módulo Tapalpa,Módulo Tapalpa,Módulo,1,Regional,Región Lagunas,Tapalpa,Tapalpa,Prolongación Francisco I. Madero ,3,N/A,48200,http://prepasayula.sems.udg.mx,prepasayula.sems.udg.mx,,,
Módulo Usmajac-14MMS0832U,150,SEMS,14MMS0627K,14MMS0832U,Módulo Usmajac,Módulo Usmajac,Módulo,1,Regional,Región Lagunas,Sayula,Sayula,Calle Juan Diego,54,N/A,49330,http://prepasayula.sems.udg.mx,prepasayula.sems.udg.mx,,,
EPR de Tala-14MMS0655G,151,SEMS,,14MMS0655G,Escuela Preparatoria Regional de Tala,EPR de Tala,Escuela,1,Regional,Región Valles,Tala,Tala,Calle Paseo de Los Fresnos ,S/N,N/A,45300,http://prepatala.sems.udg.mx,prepatala.sems.udg.mx,,,
Módulo San Isidro Mazatepec-14MMS0771X,152,SEMS,14MMS0655G,14MMS0771X,Módulo San Isidro Mazatepec,Módulo San Isidro Mazatepec,Módulo,1,Regional,Región Valles,Tala,Tala,Calle Francisco Javier Mina,61,N/A,45340,http://prepatala.sems.udg.mx,prepatala.sems.udg.mx,,,
EPR de Tamazula de Gordiano-14MMS0620R,153,SEMS,,14MMS0620R,Escuela Preparatoria Regional de Tamazula de Gordiano “Dr. Roberto Mendiola Orta”,EPR de Tamazula de Gordiano,Escuela,1,Regional,Región Sur,Tamazula de Gordiano,Tamazula de Gordiano,Carretera Santa Rosa - Tamazula de Gordiano ,S/N,N/A,49650,http://prepatamazula.sems.udg.mx,prepatamazula.sems.udg.mx,,,
Módulo Contla-14MMS0766L,154,SEMS,14MMS0620R,14MMS0766L,Módulo Contla,Módulo Contla,Módulo,1,Regional,Región Sur,Tamazula de Gordiano,Tamazula de Gordiano,Calle Aldama,61,N/A,49660,http://prepatamazula.sems.udg.mx,prepatamazula.sems.udg.mx,,,
Módulo Quitupan-14MMS0689X,155,SEMS,14MMS0620R,14MMS0689X,Módulo Quitupan,Módulo Quitupan,Módulo,1,Regional,Región Sureste,Quitupan,Quitupan,Carretera Quitupan - Valle de Juárez Km 1,S/N,N/A,49570,http://prepatamazula.sems.udg.mx,prepatamazula.sems.udg.mx,,,
Módulo Valle de Juárez-14MMS0770Y,156,SEMS,14MMS0620R,14MMS0770Y,Módulo Valle de Juárez,Módulo Valle de Juárez,Módulo,1,Regional,Región Sureste,Valle de Juárez,Valle de Juárez,Calle 5 de Febrero,S/N,N/A,49540,http://prepatamazula.sems.udg.mx,prepatamazula.sems.udg.mx,,,
Módulo Lázaro Cárdenas-14MMS0690M,157,SEMS,14MMS0620R,14MMS0690M,Módulo Lázaro Cárdenas,Módulo Lázaro Cárdenas,Módulo,1,Regional,Región Sureste,Quitupan,Quitupan,Calle Benito Juárez,S/N,N/A,49570,http://prepatamazula.sems.udg.mx,prepatamazula.sems.udg.mx,,,
Módulo Vista Hermosa-14MMS0740D,158,SEMS,14MMS0620R,14MMS0740D,Módulo Vista Hermosa,Módulo Vista Hermosa,Módulo,1,Regional,Región Sur,Tamazula de Gordiano,Tamazula de Gordiano,Calle José María Martínez,S/N,N/A,49657,http://prepatamazula.sems.udg.mx,prepatamazula.sems.udg.mx,,,
EPR de Tecolotlán-14MMS0656F,159,SEMS,,14MMS0656F,Escuela Preparatoria Regional de Tecolotlán,EPR de Tecolotlán,Escuela,1,Regional,Región Sierra de Amula,Tecolotlán,Tecolotlán,Calle Juárez,115,N/A,48540,http://prepatecolotlan.sems.udg.mx,prepatecolotlan.sems.udg.mx,,,
Módulo Chiquilistlán-14MMS0768J,160,SEMS,14MMS0656F,14MMS0768J,Módulo Chiquilistlán,Módulo Chiquilistlán,Módulo,1,Regional,Región Sierra de Amula,Chiquilistlán,Chiquilistlán,Calle Francisco I. Madero,33,N/A,48640,http://prepatecolotlan.sems.udg.mx,prepatecolotlan.sems.udg.mx,,,
Módulo Juchitlán-14MMS0711I,161,SEMS,14MMS0656F,14MMS0711I,Módulo Juchitlán,Módulo Juchitlán,Módulo,1,Regional,Región Sierra de Amula,Juchitlán,Juchitlán,Calle 16 de Septiembre,S/N,N/A,48600,http://prepatecolotlan.sems.udg.mx,prepatecolotlan.sems.udg.mx,,,
Módulo Soyatlán del Oro-14MMS0730X,162,SEMS,14MMS0656F,14MMS0730X,Módulo Soyatlán del Oro,Módulo Soyatlán del Oro,Módulo,1,Regional,Región Sierra de Amula,Atengo,Atengo,Calle México ,6,N/A,48180,http://prepatecolotlan.sems.udg.mx,prepatecolotlan.sems.udg.mx,,,
Módulo Tenamaxtlán-14MMS0670Z,163,SEMS,14MMS0656F,14MMS0670Z,Módulo Tenamaxtlán,Módulo Tenamaxtlán,Módulo,1,Regional,Región Sierra de Amula,Tenamaxtlán,Tenamaxtlán,Privada Donato Guerra,2,N/A,48570,http://prepatecolotlan.sems.udg.mx,prepatecolotlan.sems.udg.mx,,,
EPR de Tepatitlán-14MMS0632W,164,SEMS,,14MMS0632W,Escuela Preparatoria Regional de Tepatitlán,EPR de Tepatitlán,Escuela,1,Regional,Región Altos Sur,Tepatitlán de Morelos,Tepatitlán de Morelos,Prolongación Bartolo Hernández,1322,N/A,47600,http://prepatepatitlan.sems.udg.mx,prepatepatitlan.sems.udg.mx,,,
Módulo Acatic-14MMS0713G,165,SEMS,14MMS0632W,14MMS0713G,Módulo Acatic,Módulo Acatic,Módulo,1,Regional,Región Altos Sur,Acatic,Acatic,Calle Escuela Digna,620,N/A,45470,http://prepatepatitlan.sems.udg.mx,prepatepatitlan.sems.udg.mx,,,
Módulo Cañadas de Obregón-14MMS0763O,166,SEMS,14MMS0632W,14MMS0763O,Módulo de Cañadas de Obregón,Módulo Cañadas de Obregón,Módulo,1,Regional,Región Altos Sur,Cañadas de Obregón,Cañadas de Obregón,Calle J. Isabel Valdivia,S/N,N/A,47360,http://prepatepatitlan.sems.udg.mx,prepatepatitlan.sems.udg.mx,,,
Módulo Valle de Guadalupe-14MMS0715E,167,SEMS,14MMS0632W,14MMS0715E,Módulo Valle de Guadalupe,Módulo Valle de Guadalupe,Módulo,1,Regional,Región Altos Sur,Valle de Guadalupe,Valle de Guadalupe,Calle Justo Sierra,275,N/A,47384,http://prepatepatitlan.sems.udg.mx,prepatepatitlan.sems.udg.mx,,,
