name,row,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
CUNORTE-14USU0002Z,19,CUNORTE,,14USU0002Z,Centro Universitario del Norte,CUNORTE,Centro Universitario,1,Regional,Región Norte,Colotlán,N/A,Carretera Federal Colotlán - Huejúcar km 191,23,N/A,46200,https://www.cunorte.udg.mx,www.cunorte.udg.mx,,,
CULAGOS - Lagos de Moreno-14USU0221L,20,CULAGOS,,14USU0221L,Centro Universitario de los Lagos sede Lagos de Moreno,CULAGOS - Lagos de Moreno,Centro Universitario,1,Regional,Región Altos Norte,Lagos de Moreno,N/A,Avenida Enrique Díaz de León,1144,N/A,47460,https://www.lagos.udg.mx,www.lagos.udg.mx,,,
CULAGOS - San Juan de los Lagos-14USU0222K,21,CULAGOS,14USU0221L,14USU0222K,Centro Universitario de los Lagos sede San Juan de los Lagos,CULAGOS - San Juan de los Lagos,Sede CU,1,Regional,Región Altos Norte,San Juan de Los Lagos,N/A,Calle Tenazas,S/N,N/A,47000,https://www.lagos.udg.mx,www.lagos.udg.mx,,,
CUTONALÁ-14USU0008T,22,CUTONALÁ,,14USU0008T,Centro Universitario de Tonalá,CUTONALÁ,Centro Universitario,1,Regional,Región Centro,Tonalá,Ejido San José Tateposco,Avenida Nuevo Periférico,555,N/A,45425,http://www.cutonala.udg.mx,www.cutonala.udg.mx,,,
CUTLAJOMULCO-14USU0011G,23,CUTLAJOMULCO,,14USU0011G,Centro Universitario de Tlajomulco,CUTLAJOMULCO,Centro Universitario,1,Regional,Región Centro,Tlajomulco de Zúñiga,Lomas de Tejeda,Carretera Tlajomulco - Santa Fe Km. 3.5,595,N/A,45641,http://www.cutlajomulco.udg.mx,www.cutlajomulco.udg.mx,,,
CUTLAQUEPAQUE-CUTLAQUEPAQUE,24,CUTLAQUEPAQUE,,CUTLAQUEPAQUE,Centro Universitario de Tlaquepaque,CUTLAQUEPAQUE,Centro Universitario,1,Regional,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Leocares,323,,45599,,,,,
CUCHAPALA-14USU0013E,25,CUCHAPALA,,14USU0013E,Centro Universitario de Chapala,CUCHAPALA,Centro Universitario,1,Regional,Región Sureste,Chapala,Chapala,Niños Héroes,69,,45900,,,,,
CUGUADALAJARA-14USU0012F,26,CUGUADALAJARA,,14USU0012F,Centro Universitario de Guadalajara,CUGUADALAJARA,Centro Universitario,1,Regional,Región Centro,Guadalajara,Guadalajara,Calle Guanajuato,#N/A,#N/A,44260,https://cugdl.udg.mx/,cugdl.udg.mx,,,
SUV-14USU0004X,27,SUV,,14USU0004X,Sistema de Universidad Virtual,SUV,Virtual,1,Regional,Región Centro,Guadalajara,Guadalajara,Avenida La Paz ,2453,N/A,44130,https://www.udgvirtual.udg.mx,www.udgvirtual.udg.mx,,,
Prepa Jalisco-14MMS0607X,28,SEMS,,14MMS0607X,Escuela Preparatoria de Jalisco,Prepa Jalisco,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle González Ortega,225,N/A,44100,http://prepajalisco.sems.udg.mx,prepajalisco.sems.udg.mx,,,
Prepa 2-14MMS0608W,29,SEMS,,14MMS0608W,Escuela Preparatoria No. 2,Prepa 2,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Álvarez del Castillo,760,N/A,44370,http://prepa2.sems.udg.mx,prepa2.sems.udg.mx,,,
Prepa 3-14MMS0609V,30,SEMS,,14MMS0609V,Escuela Preparatoria No. 3,Prepa 3,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Calle Francisco Gómez de Mendiola,S/N,N/A,44700,http://prepa3.sems.udg.mx,prepa3.sems.udg.mx,,,
Prepa 4-14MMS0610K,31,SEMS,,14MMS0610K,Escuela Preparatoria No. 4,Prepa 4,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Torrecillas,S/N,N/A,44890,http://prepa4.sems.udg.mx,prepa4.sems.udg.mx,,,
Prepa 5-14MMS0611J,32,SEMS,,14MMS0611J,Escuela Preparatoria No. 5,Prepa 5,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Fray Andrés de Urdaneta,S/N,N/A,44930,http://prepa5.sems.udg.mx,prepa5.sems.udg.mx,,,
Prepa 6-14MMS0612I,33,SEMS,,14MMS0612I,Escuela Preparatoria No. 6,Prepa 6,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Avenida Literatura,S/N,N/A,44990,http://prepa6.sems.udg.mx,prepa6.sems.udg.mx,,,
Prepa 7-14MMS0613H,34,SEMS,,14MMS0613H,Escuela Preparatoria No. 7,Prepa 7,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Avenida Tesistán,S/N,N/A,45130,http://prepa7.sems.udg.mx,prepa7.sems.udg.mx,,,
Prepa 8-14MMS0647Y,35,SEMS,,14MMS0647Y,Escuela Preparatoria No. 8,Prepa 8,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Periférico Norte,1900,N/A,45180,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,,,
Módulo Cuquío-14MMS0762P,36,SEMS,14MMS0647Y,14MMS0762P,Módulo Cuquío,Módulo Cuquío,Módulo,1,Metropolitano,Región Centro,Cuquío,Cuquío,Calle Avenal,54,N/A,45480,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,,,
Módulo Ixtlahuacán del Río-14MMS0761Q,37,SEMS,14MMS0647Y,14MMS0761Q,Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,Módulo,1,Metropolitano,Región Centro,Ixtlahuacán del Río,Ixtlahuacán del Río,Calle Mariano Matamoros,1,N/A,45260,http://prepa8.sems.udg.mx,prepa8.sems.udg.mx,,,
Prepa 9-14MMS0648X,38,SEMS,,14MMS0648X,Escuela Preparatoria No. 9,Prepa 9,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Avenida Dr. Mateo del Regil,S/N,N/A,45236,http://prepa9.sems.udg.mx,prepa9.sems.udg.mx,,,
