name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
128 2021-2022 14MMS0665N BGC,128,2021-2022,14MMS0665N,BGC,Escolarizada,55,71,,126,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
135 2021-2022 14MMS0668K BGC,135,2021-2022,14MMS0668K,BGC,Escolarizada,133,176,,309,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,0,0,,0,2,1,,3,0,0,,0
138 2021-2022 14MMS0670Z BGC,138,2021-2022,14MMS0670Z,BGC,Escolarizada,74,96,,170,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,2,,2,0,0,,0
140 2021-2022 14MMS0671Y BGC,140,2021-2022,14MMS0671Y,BGC,Escolarizada,31,42,,73,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
141 2021-2022 14MMS0672X BGC,141,2021-2022,14MMS0672X,BGC,Escolarizada,34,39,,73,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
154 2021-2022 14MMS0682D BGC,154,2021-2022,14MMS0682D,BGC,Escolarizada,67,68,,135,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
155 2021-2022 14MMS0682D BGC,155,2021-2022,14MMS0682D,BGC,Escolarizada,67,67,,134,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0
158 2021-2022 14MMS0684B BGC,158,2021-2022,14MMS0684B,BGC,Escolarizada,23,41,,64,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
176 2021-2022 14MMS0696G BGC,176,2021-2022,14MMS0696G,BGC,Escolarizada,111,153,,264,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
179 2021-2022 14MMS0697F BGC,179,2021-2022,14MMS0697F,BGC,Escolarizada,42,60,,102,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
185 2021-2022 14MMS0699D BGC,185,2021-2022,14MMS0699D,BGC,Escolarizada,57,82,,139,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,1,1,,2,0,0,,0
188 2021-2022 14MMS0701B BGC,188,2021-2022,14MMS0701B,BGC,Escolarizada,206,238,,444,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,,7,0,0,,0,1,0,,1,2,6,,8,0,0,,0
196 2021-2022 14MMS0706X BGC,196,2021-2022,14MMS0706X,BGC,Escolarizada,217,224,,441,0,1,,1,1,0,,1,0,0,,0,1,0,,1,1,0,,1,5,7,,12,0,0,,0,0,0,,0,8,8,,16,0,0,,0
198 2021-2022 14MMS0707W BGC,198,2021-2022,14MMS0707W,BGC,Escolarizada,167,220,,387,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
199 2021-2022 14MMS0708V BGC,199,2021-2022,14MMS0708V,BGC,Escolarizada,145,167,,312,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,0,,3,0,0,,0,0,0,,0,4,0,,4,0,0,,0
200 2021-2022 14MMS0708V BGC,200,2021-2022,14MMS0708V,BGC,Escolarizada,140,170,,310,0,0,,0,0,2,,2,0,0,,0,0,1,,1,0,0,,0,2,1,,3,0,0,,0,0,0,,0,2,4,,6,0,0,,0
203 2021-2022 14MMS0710J BGC,203,2021-2022,14MMS0710J,BGC,Escolarizada,81,103,,184,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1
205 2021-2022 14MMS0711I BGC,205,2021-2022,14MMS0711I,BGC,Escolarizada,93,104,,197,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
213 2021-2022 14MMS0716D BGC,213,2021-2022,14MMS0716D,BGC,Escolarizada,132,192,,324,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
