orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
1,SEMS,,14MMS0607X,Escuela Preparatoria de Jalisco,Prepa Jalisco,Escuela,Metropolitano,Región Centro,Guadalajara,
2,SEMS,,14MMS0608W,Escuela Preparatoria Núm. 2,Prepa 2,Escuela,Metropolitano,Región Centro,Guadalajara,
3,SEMS,,14MMS0609V,Escuela Preparatoria Núm. 3,Prepa 3,Escuela,Metropolitano,Región Centro,Guadalajara,
4,SEMS,,14MMS0610K,Escuela Preparatoria Núm. 4,Prepa 4,Escuela,Metropolitano,Región Centro,Guadalajara,
5,SEMS,,14MMS0611J,Escuela Preparatoria Núm. 5,Prepa 5,Escuela,Metropolitano,Región Centro,Guadalajara,
6,SEMS,,14MMS0612I,Escuela Preparatoria Núm. 6,Prepa 6,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
7,SEMS,,14MMS0613H,Escuela Preparatoria Núm. 7,Prepa 7,Escuela,Metropolitano,Región Centro,Zapopan,
8,SEMS,,14MMS0647Y,Escuela Preparatoria Núm. 8,Prepa 8,Escuela,Metropolitano,Región Centro,Zapopan,
9,SEMS,14MMS0647Y,14MMS0762P,Módulo Cuquío,Módulo Cuquío,Módulo,Metropolitano,Región Centro,Cuquío,
10,SEMS,14MMS0647Y,14MMS0761Q,Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,Módulo,Metropolitano,Región Centro,Ixtlahuacán del Río,
11,SEMS,,14MMS0648X,Escuela Preparatoria Núm. 9,Prepa 9,Escuela,Metropolitano,Región Centro,Zapopan,
12,SEMS,,14MMS0649W,Escuela Preparatoria Núm. 10,Prepa 10,Escuela,Metropolitano,Región Centro,Zapopan,
13,SEMS,,14MMS0650L,Escuela Preparatoria Núm. 11,Prepa 11,Escuela,Metropolitano,Región Centro,Guadalajara,
14,SEMS,,14MMS0646Z,Escuela Preparatoria Núm. 12,Prepa 12,Escuela,Metropolitano,Región Centro,Guadalajara,
15,SEMS,14MMS0646Z,14MMS0640E,Módulo Tlaquepaque,Módulo Tlaquepaque,Módulo,Metropolitano,Región Centro,San Pedro Tlaquepaque,
16,SEMS,,14MMS0615F,Escuela Preparatoria Núm. 13,Prepa 13,Escuela,Metropolitano,Región Centro,Guadalajara,
17,SEMS,,14MMS0630Y,Escuela Preparatoria Núm. 14,Prepa 14,Escuela,Metropolitano,Región Centro,Guadalajara,
18,SEMS,14MMS0630Y,14MMS0641D,Módulo La Experiencia,Módulo La Experiencia,Módulo,Metropolitano,Región Centro,Zapopan,
19,SEMS,,14MMS0631X,Escuela Preparatoria Núm. 15,Prepa 15,Escuela,Metropolitano,Región Centro,Zapopan,
20,SEMS,,14MMS0636S,Escuela Preparatoria Núm. 16,Prepa 16,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
21,SEMS,,14MMS0752I,Escuela Preparatoria Núm. 17,Prepa 17,Escuela,Metropolitano,Región Centro,El Salto,
22,SEMS,,14MMS0753H,Escuela Preparatoria Núm. 18,Prepa 18,Escuela,Metropolitano,Región Centro,Guadalajara,
23,SEMS,,14MMS0757D,Escuela Preparatoria Núm. 19,Prepa 19,Escuela,Metropolitano,Región Centro,Zapopan,
24,SEMS,,14MMS0756E,Escuela Preparatoria Núm. 20,Prepa 20,Escuela,Metropolitano,Región Centro,Zapopan,
25,SEMS,,14MMS0878P,Escuela Preparatoria Núm. 21,Prepa 21,Escuela,Metropolitano,Región Centro,Zapopan,
26,SEMS,,14MMS0844Z,Escuela Preparatoria Núm. 22,Prepa 22,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
27,SEMS,,14MMS0614G,Escuela Vocacional,Escuela Vocacional,Escuela,Metropolitano,Región Centro,Guadalajara,
28,SEMS,,14MMS0776S,Escuela Politécnica de Guadalajara,Poli de Guadalajara,Escuela,Metropolitano,Región Centro,Guadalajara,
29,SEMS,,14MMS0799C,Escuela Politécnica Ing. Jorge Matute Remus,Poli Ing. Jorge Matute Remus,Escuela,Metropolitano,Región Centro,Zapopan,
30,SEMS,,14MMS0645Z,Escuela Preparatoria de Tonalá,Prepa Tonalá,Escuela,Metropolitano,Región Centro,Tonalá,
31,SEMS,,14MMS0623O,Escuela Preparatoria de Tonalá Norte,Prepa Tonalá Norte,Escuela,Metropolitano,Región Centro,Tonalá,
