name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
22 2019-2020 14MMS0615F BGC,22,2019-2020,14MMS0615F,BGC,Escolarizada,404,654,,1058,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,3,9,,12,0,0,,0,0,0,,0,4,9,,13,0,0,,0
23 2019-2020 14MMS0616E BGC,23,2019-2020,14MMS0616E,BGC,Escolarizada,183,298,,481,0,1,,1,0,0,,0,0,0,,0,0,3,,3,0,1,,1,4,5,,9,1,0,,1,0,0,,0,5,10,,15,0,0,,0
24 2019-2020 14MMS0616E BGC,24,2019-2020,14MMS0616E,BGC,Escolarizada,228,249,,477,1,0,,1,1,0,,1,0,0,,0,0,1,,1,0,0,,0,3,4,,7,0,0,,0,0,0,,0,5,5,,10,0,0,,0
25 2019-2020 14MMS0617D BGC,25,2019-2020,14MMS0617D,BGC,Escolarizada,221,301,,522,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,1,,3,1,0,,1
26 2019-2020 14MMS0617D BGC,26,2019-2020,14MMS0617D,BGC,Escolarizada,218,324,,542,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,1,0,,1,3,1,,4,0,0,,0
27 2019-2020 14MMS0618C BGC,27,2019-2020,14MMS0618C,BGC,Escolarizada,385,522,,907,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,4,5,,9,0,0,,0,0,0,,0,5,5,,10,0,0,,0
28 2019-2020 14MMS0618C BGC,28,2019-2020,14MMS0618C,BGC,Escolarizada,318,383,,701,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,2,,5,0,0,,0,0,0,,0,3,2,,5,0,0,,0
29 2019-2020 14MMS0618C BGAI,29,2019-2020,14MMS0618C,BGAI,Escolarizada,25,32,,57,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
30 2019-2020 14MMS0619B BGC,30,2019-2020,14MMS0619B,BGC,Escolarizada,329,391,,720,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,6,,11,0,0,,0,0,0,,0,6,6,,12,0,1,,1
31 2019-2020 14MMS0619B BGC,31,2019-2020,14MMS0619B,BGC,Escolarizada,243,359,,602,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,7,7,,14,0,0,,0,0,1,,1,8,8,,16,0,0,,0
32 2019-2020 14MMS0619B BGAI,32,2019-2020,14MMS0619B,BGAI,Escolarizada,22,36,,58,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
33 2019-2020 14MMS0620R BGC,33,2019-2020,14MMS0620R,BGC,Escolarizada,137,158,,295,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
34 2019-2020 14MMS0620R BGC,34,2019-2020,14MMS0620R,BGC,Escolarizada,87,86,,173,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,1,0,,1,1,1,,2,0,0,,0
35 2019-2020 14MMS0620R BGAI,35,2019-2020,14MMS0620R,BGAI,Escolarizada,14,10,,24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
36 2019-2020 14MMS0621Q BGC,36,2019-2020,14MMS0621Q,BGC,Escolarizada,397,505,,902,1,0,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,3,3,,6,0,0,,0,0,0,,0,4,4,,8,0,0,,0
37 2019-2020 14MMS0621Q BGC,37,2019-2020,14MMS0621Q,BGC,Escolarizada,338,431,,769,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,7,6,,13,0,2,,2,0,0,,0,9,8,,17,0,0,,0
38 2019-2020 14MMS0621Q BGAI,38,2019-2020,14MMS0621Q,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
39 2019-2020 14MMS0622P BGC,39,2019-2020,14MMS0622P,BGC,Escolarizada,151,182,,333,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,2,,4,0,0,,0
40 2019-2020 14MMS0622P BGC,40,2019-2020,14MMS0622P,BGC,Escolarizada,99,98,,197,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,4,,8,0,0,,0,0,0,,0,4,5,,9,0,0,,0
41 2019-2020 14MMS0623O BGC,41,2019-2020,14MMS0623O,BGC,Escolarizada,732,912,,1644,2,0,,2,1,0,,1,0,0,,0,1,0,,1,0,0,,0,6,12,,18,0,0,,0,0,0,,0,10,12,,22,0,0,,0
42 2019-2020 14MMS0623O BGC,42,2019-2020,14MMS0623O,BGC,Escolarizada,607,842,,1449,2,0,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,4,10,,14,1,0,,1,0,0,,0,8,10,,18,0,0,,0
43 2019-2020 14MMS0624N BGC,43,2019-2020,14MMS0624N,BGC,Escolarizada,147,187,,334,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,1,1,,2,0,0,,0
44 2019-2020 14MMS0624N BGC,44,2019-2020,14MMS0624N,BGC,Escolarizada,124,170,,294,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,2,2,,4,0,1,,1
45 2019-2020 14MMS0625M BGC,45,2019-2020,14MMS0625M,BGC,Escolarizada,157,240,,397,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,4,,5,0,0,,0,0,0,,0,2,4,,6,2,8,,10
