row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
2740,2740 Módulo San Marcos,Módulo San Marcos,,14USU02576,
2741,2741 Escuela Preparatoria Regional de Huejuquilla el Alto,Escuela Preparatoria Regional de Huejuquilla el Alto,,14USU02577,
2742,2742 Módulo Mezquitic,Módulo Mezquitic,,14USU02578,
2743,2743 Escuela Preparatoria Regional de Jalostotitlán,Escuela Preparatoria Regional de Jalostotitlán,,14USU02579,
2744,2744 Escuela Preparatoria Regional de Jamay,Escuela Preparatoria Regional de Jamay,,14USU02580,
2745,2745 Escuela Preparatoria Regional de Jocotepec,Escuela Preparatoria Regional de Jocotepec,,14USU02581,
2746,2746 Módulo Concepción de Buenos Aires,Módulo Concepción de Buenos Aires,,14USU02582,
2747,2747 Módulo La Manzanilla de la Paz,Módulo La Manzanilla de la Paz,,14USU02583,
2748,2748 Módulo Tizapán el Alto,Módulo Tizapán el Alto,,14USU02584,
2749,2749 Escuela Preparatoria Regional de La Barca,Escuela Preparatoria Regional de La Barca,,14USU02585,
2750,2750 Escuela Preparatoria Regional de Lagos de Moreno,Escuela Preparatoria Regional de Lagos de Moreno,,14USU02586,
2751,2751 Módulo Encarnación de Díaz,Módulo Encarnación de Díaz,,14USU02587,
2752,2752 Módulo Ojuelos,Módulo Ojuelos,,14USU02588,
2753,2753 Módulo San Diego de Alejandría,Módulo San Diego de Alejandría,,14USU02589,
2754,2754 Módulo Unión de San Antonio,Módulo Unión de San Antonio,,14USU02590,
2755,2755 Módulo Villa Hidalgo,Módulo Villa Hidalgo,,14USU02591,
2756,2756 Escuela Preparatoria Regional de Puerto Vallarta,Escuela Preparatoria Regional de Puerto Vallarta,,14USU02592,
2757,2757 Módulo El Tuito,Módulo El Tuito,,14USU02593,
2758,2758 Módulo Ixtapa,Módulo Ixtapa,,14USU02594,
2759,2759 Módulo José María Morelos,Módulo José María Morelos,,14USU02595,
2760,2760 Módulo Pino Suárez,Módulo Pino Suárez,,14USU02596,
2761,2761 Módulo Tomatlán,Módulo Tomatlán,,14USU02597,
2762,2762 Escuela Preparatoria Regional de San Juan de los Lagos,Escuela Preparatoria Regional de San Juan de los Lagos,,14USU02598,
2763,2763 Módulo Teocaltiche,Módulo Teocaltiche,,14USU02599,
