row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
1,1 Escuela Preparatoria de Jalisco,Escuela Preparatoria de Jalisco,,14MMS0607X,
2,2 Escuela Preparatoria Núm. 2,Escuela Preparatoria Núm. 2,,14MMS0608W,
3,3 Escuela Preparatoria Núm. 3,Escuela Preparatoria Núm. 3,,14MMS0609V,
4,4 Escuela Preparatoria Núm. 4,Escuela Preparatoria Núm. 4,,14MMS0610K,
5,5 Escuela Preparatoria Núm. 5,Escuela Preparatoria Núm. 5,,14MMS0611J,
6,6 Escuela Preparatoria Núm. 6,Escuela Preparatoria Núm. 6,,14MMS0612I,
7,7 Escuela Preparatoria Núm. 7,Escuela Preparatoria Núm. 7,,14MMS0613H,
8,8 Escuela Preparatoria Núm. 8,Escuela Preparatoria Núm. 8,,14MMS0647Y,
9,9 Módulo Cuquío,Módulo Cuquío,,14MMS0762P,
10,10 Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,9 Módulo Cuquío,14MMS0761Q,
11,11 Escuela Preparatoria Núm. 9,Escuela Preparatoria Núm. 9,,14MMS0648X,
12,12 Escuela Preparatoria Núm. 10,Escuela Preparatoria Núm. 10,,14MMS0649W,
13,13 Escuela Preparatoria Núm. 11,Escuela Preparatoria Núm. 11,,14MMS0650L,
14,14 Escuela Preparatoria Núm. 12,Escuela Preparatoria Núm. 12,,14MMS0646Z,
15,15 Módulo Tlaquepaque,Módulo Tlaquepaque,14 Escuela Preparatoria Núm. 12,14MMS0640E,
16,16 Escuela Preparatoria Núm. 13,Escuela Preparatoria Núm. 13,,14MMS0615F,
17,17 Escuela Preparatoria Núm. 14,Escuela Preparatoria Núm. 14,,14MMS0630Y,
18,18 Módulo La Experiencia,Módulo La Experiencia,17 Escuela Preparatoria Núm. 14,14MMS0641D,
19,19 Escuela Preparatoria Núm. 15,Escuela Preparatoria Núm. 15,,14MMS0631X,
20,20 Escuela Preparatoria Núm. 16,Escuela Preparatoria Núm. 16,,14MMS0636S,
21,21 Escuela Preparatoria Núm. 17,Escuela Preparatoria Núm. 17,,14MMS0752I,
22,22 Escuela Preparatoria Núm. 18,Escuela Preparatoria Núm. 18,,14MMS0753H,
23,23 Escuela Preparatoria Núm. 19,Escuela Preparatoria Núm. 19,,14MMS0757D,
24,24 Escuela Preparatoria Núm. 20,Escuela Preparatoria Núm. 20,,14MMS0756E,
25,25 Escuela Preparatoria Núm. 21,Escuela Preparatoria Núm. 21,,14MMS0878P,
26,26 Escuela Preparatoria Núm. 22,Escuela Preparatoria Núm. 22,,14MMS0844Z,
27,27 Escuela Vocacional,Escuela Vocacional,,14MMS0614G,
28,28 Escuela Politécnica de Guadalajara,Escuela Politécnica de Guadalajara,,14MMS0776S,
29,29 Escuela Politécnica Ing. Jorge Matute Remus,Escuela Politécnica Ing. Jorge Matute Remus,,14MMS0799C,
30,30 Escuela Preparatoria de Tonalá,Escuela Preparatoria de Tonalá,,14MMS0645Z,
31,31 Escuela Preparatoria de Tonalá Norte,Escuela Preparatoria de Tonalá Norte,,14MMS0623O,
32,32 Escuela Preparatoria Regional de Ahualulco de Mercado,Escuela Preparatoria Regional de Ahualulco de Mercado,,14MMS0643B,
33,33 Módulo Teuchitlán,Módulo Teuchitlán,32 Escuela Preparatoria Regional de Ahualulco de Mercado,14MMS0727J,
34,34 Escuela Preparatoria Regional de Amatitán,Escuela Preparatoria Regional de Amatitán,,14MMS0717C,
35,35 Módulo Arenal,Módulo Arenal,34 Escuela Preparatoria Regional de Amatitán,14MMS0718B,
36,36 Módulo El Salvador,Módulo El Salvador,34 Escuela Preparatoria Regional de Amatitán,14MMS0741C,
37,37 Escuela Preparatoria Regional de Ameca,Escuela Preparatoria Regional de Ameca,,14MMS0617D,
38,38 Módulo Atenguillo,Módulo Atenguillo,37 Escuela Preparatoria Regional de Ameca,14MMS0662Q,
39,39 Módulo Mascota,Módulo Mascota,37 Escuela Preparatoria Regional de Ameca,14MMS0663P,
40,40 Módulo San Antonio Matute,Módulo San Antonio Matute,37 Escuela Preparatoria Regional de Ameca,14MMS0664O,
41,41 Módulo Talpa de Allende,Módulo Talpa de Allende,37 Escuela Preparatoria Regional de Ameca,14MMS0665N,
42,42 Escuela Preparatoria Regional de Arandas,Escuela Preparatoria Regional de Arandas,,14MMS0619B,
43,43 Módulo Jesús María,Módulo Jesús María,42 Escuela Preparatoria Regional de Arandas,14MMS0666M,
44,44 Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,42 Escuela Preparatoria Regional de Arandas,14MMS0667L,
45,45 Módulo Santa María del Valle,Módulo Santa María del Valle,42 Escuela Preparatoria Regional de Arandas,14MMS0728I,
46,46 Escuela Preparatoria Regional de Atotonilco,Escuela Preparatoria Regional de Atotonilco,,14MMS0618C,
47,47 Módulo Ayotlán,Módulo Ayotlán,46 Escuela Preparatoria Regional de Atotonilco,14MMS0668K,
48,48 Módulo La Ribera,Módulo La Ribera,46 Escuela Preparatoria Regional de Atotonilco,14MMS0747X,
49,49 Módulo San Francisco de Asís,Módulo San Francisco de Asís,46 Escuela Preparatoria Regional de Atotonilco,14MMS0750K,
50,50 Escuela Preparatoria Regional de Autlán de Navarro,Escuela Preparatoria Regional de Autlán de Navarro,,14MMS0621Q,
51,51 Escuela Preparatoria Regional de Casimiro Castillo,Escuela Preparatoria Regional de Casimiro Castillo,,14MMS0622P,
52,52 Módulo Ayotitlán,Módulo Ayotitlán,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0732V,
53,53 Módulo Chacala,Módulo Chacala,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0733U,
54,54 Módulo Cuautitlán,Módulo Cuautitlán,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0674V,
55,55 Módulo Cuzalapa,Módulo Cuzalapa,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0734T,
56,56 Módulo Hermenegildo Galeana,Módulo Hermenegildo Galeana,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0675U,
57,57 Módulo La Huerta,Módulo La Huerta,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0676T,
58,58 Módulo Tecomates,Módulo Tecomates,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0735S,
59,59 Módulo Telcruz,Módulo Telcruz,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0736R,
60,60 Módulo Tequesquitlán,Módulo Tequesquitlán,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0737Q,
61,61 Módulo Villa Purificación,Módulo Villa Purificación,51 Escuela Preparatoria Regional de Casimiro Castillo,14MMS0677S,
62,62 Escuela Preparatoria Regional de Chapala,Escuela Preparatoria Regional de Chapala,,14MMS0651K,
63,63 Módulo Ixtlahuacán de los Membrillos,Módulo Ixtlahuacán de los Membrillos,62 Escuela Preparatoria Regional de Chapala,14MMS0798D,
64,64 Módulo Mezcala de la Asunción,Módulo Mezcala de la Asunción,62 Escuela Preparatoria Regional de Chapala,14MMS0698E,
65,65 Escuela Preparatoria Regional de Cihuatlán,Escuela Preparatoria Regional de Cihuatlán,,14MMS0624N,
66,66 Módulo Miguel Hidalgo,Módulo Miguel Hidalgo,65 Escuela Preparatoria Regional de Cihuatlán,14MMS0682D,
67,67 Módulo San Patricio Melaque,Módulo San Patricio Melaque,65 Escuela Preparatoria Regional de Cihuatlán,14MMS0683C,
68,68 Escuela Preparatoria Regional de Ciudad Guzmán,Escuela Preparatoria Regional de Ciudad Guzmán,,14MMS0626L,
69,69 Módulo Copala,Módulo Copala,68 Escuela Preparatoria Regional de Ciudad Guzmán,14MMS0758C,
70,70 Módulo Tolimán,Módulo Tolimán,68 Escuela Preparatoria Regional de Ciudad Guzmán,14MMS0680F,
71,71 Módulo Zapotitlán de Vadillo,Módulo Zapotitlán de Vadillo,68 Escuela Preparatoria Regional de Ciudad Guzmán,14MMS0681E,
72,72 Escuela Preparatoria Regional de Cocula,Escuela Preparatoria Regional de Cocula,,14MMS0707W,
73,73 Escuela Preparatoria Regional de Colotlán,Escuela Preparatoria Regional de Colotlán,,14MMS0625M,
74,74 Módulo Bolaños,Módulo Bolaños,73 Escuela Preparatoria Regional de Colotlán,14MMS0738P,
75,75 Módulo Huejúcar,Módulo Huejúcar,73 Escuela Preparatoria Regional de Colotlán,14MMS0684B,
76,76 Módulo San Martín de Bolaños,Módulo San Martín de Bolaños,73 Escuela Preparatoria Regional de Colotlán,14MMS0687Z,
77,77 Módulo Villa Guerrero,Módulo Villa Guerrero,73 Escuela Preparatoria Regional de Colotlán,14MMS0688Y,
78,78 Escuela Preparatoria Regional de Degollado,Escuela Preparatoria Regional de Degollado,,14MMS0652J,
79,79 Escuela Preparatoria Regional de El Grullo,Escuela Preparatoria Regional de El Grullo,,14MMS0637R,
80,80 Módulo El Chante,Módulo El Chante,79 Escuela Preparatoria Regional de El Grullo,14MMS0760R,
81,81 Módulo El Limón,Módulo El Limón,79 Escuela Preparatoria Regional de El Grullo,14MMS0671Y,
82,82 Módulo Tonaya,Módulo Tonaya,79 Escuela Preparatoria Regional de El Grullo,14MMS0673W,
83,83 Módulo Tuxcacuesco,Módulo Tuxcacuesco,79 Escuela Preparatoria Regional de El Grullo,14MMS0731W,
84,84 Escuela Preparatoria Regional de El Salto,Escuela Preparatoria Regional de El Salto,,14MMS0654H,
85,85 Módulo Juanacatlán,Módulo Juanacatlán,84 Escuela Preparatoria Regional de El Salto,14MMS0879O,
86,86 Escuela Preparatoria Regional de Etzatlán,Escuela Preparatoria Regional de Etzatlán,,14MMS0642C,
87,87 Módulo Oconahua,Módulo Oconahua,86 Escuela Preparatoria Regional de Etzatlán,14MMS0726K,
88,88 Módulo San Marcos,Módulo San Marcos,86 Escuela Preparatoria Regional de Etzatlán,14MMS0661R,
89,89 Escuela Preparatoria Regional de Huejuquilla el Alto,Escuela Preparatoria Regional de Huejuquilla el Alto,,14MMS0685A,
90,90 Módulo Mezquitic,Módulo Mezquitic,89 Escuela Preparatoria Regional de Huejuquilla el Alto,14MMS0686Z,
91,91 Escuela Preparatoria Regional de Jalostotitlán,Escuela Preparatoria Regional de Jalostotitlán,,14MMS0705Y,
92,92 Escuela Preparatoria Regional de Jamay,Escuela Preparatoria Regional de Jamay,,14MMS0693J,
93,93 Escuela Preparatoria Regional de Jocotepec,Escuela Preparatoria Regional de Jocotepec,,14MMS0653I,
94,94 Módulo Concepción de Buenos Aires,Módulo Concepción de Buenos Aires,93 Escuela Preparatoria Regional de Jocotepec,14MMS0678R,
95,95 Módulo La Manzanilla de la Paz,Módulo La Manzanilla de la Paz,93 Escuela Preparatoria Regional de Jocotepec,14MMS0691L,
96,96 Módulo Tizapán el Alto,Módulo Tizapán el Alto,93 Escuela Preparatoria Regional de Jocotepec,14MMS0692K,
97,97 Escuela Preparatoria Regional de La Barca,Escuela Preparatoria Regional de La Barca,,14MMS0635T,
98,98 Escuela Preparatoria Regional de Lagos de Moreno,Escuela Preparatoria Regional de Lagos de Moreno,,14MMS0628J,
99,99 Módulo Encarnación de Díaz,Módulo Encarnación de Díaz,98 Escuela Preparatoria Regional de Lagos de Moreno,14MMS0764N,
100,100 Módulo Ojuelos,Módulo Ojuelos,98 Escuela Preparatoria Regional de Lagos de Moreno,14MMS0697F,
101,101 Módulo San Diego de Alejandría,Módulo San Diego de Alejandría,98 Escuela Preparatoria Regional de Lagos de Moreno,14MMS0694I,
102,102 Módulo Unión de San Antonio,Módulo Unión de San Antonio,98 Escuela Preparatoria Regional de Lagos de Moreno,14MMS0695H,
103,103 Módulo Villa Hidalgo,Módulo Villa Hidalgo,98 Escuela Preparatoria Regional de Lagos de Moreno,14MMS0696G,
104,104 Escuela Preparatoria Regional de Puerto Vallarta,Escuela Preparatoria Regional de Puerto Vallarta,,14MMS0634U,
105,105 Módulo El Tuito,Módulo El Tuito,104 Escuela Preparatoria Regional de Puerto Vallarta,14MMS0700C,
106,106 Módulo Ixtapa,Módulo Ixtapa,104 Escuela Preparatoria Regional de Puerto Vallarta,14MMS0701B,
107,107 Módulo José María Morelos,Módulo José María Morelos,104 Escuela Preparatoria Regional de Puerto Vallarta,14MMS0702A,
108,108 Módulo Pino Suárez,Módulo Pino Suárez,104 Escuela Preparatoria Regional de Puerto Vallarta,14MMS0703Z,
109,109 Módulo Tomatlán,Módulo Tomatlán,104 Escuela Preparatoria Regional de Puerto Vallarta,14MMS0704Z,
110,110 Escuela Preparatoria Regional de San Juan de los Lagos,Escuela Preparatoria Regional de San Juan de los Lagos,,14MMS0629I,
111,111 Módulo Teocaltiche,Módulo Teocaltiche,110 Escuela Preparatoria Regional de San Juan de los Lagos,14MMS0769I,
112,112 Escuela Preparatoria Regional de San Martín Hidalgo,Escuela Preparatoria Regional de San Martín Hidalgo,,14MMS0644A,
113,113 Módulo Buenavista,Módulo Buenavista,112 Escuela Preparatoria Regional de San Martín Hidalgo,14MMS0739O,
114,114 Escuela Preparatoria Regional de San Miguel el Alto,Escuela Preparatoria Regional de San Miguel el Alto,,14MMS0706X,
115,115 Módulo San Julián,Módulo San Julián,114 Escuela Preparatoria Regional de San Miguel el Alto,14MMS0714F,
116,116 Escuela Preparatoria Regional de Santa Anita,Escuela Preparatoria Regional de Santa Anita,,14MMS0759B,
117,117 Escuela Preparatoria Regional de Sayula,Escuela Preparatoria Regional de Sayula,,14MMS0627K,
118,118 Módulo Amacueca,Módulo Amacueca,117 Escuela Preparatoria Regional de Sayula,14MMS0754G,
119,119 Módulo San Gabriel,Módulo San Gabriel,117 Escuela Preparatoria Regional de Sayula,14MMS0709U,
120,120 Módulo Tapalpa,Módulo Tapalpa,117 Escuela Preparatoria Regional de Sayula,14MMS0710J,
121,121 Módulo Usmajac,Módulo Usmajac,117 Escuela Preparatoria Regional de Sayula,14MMS0832U,
122,122 Escuela Preparatoria Regional de Tala,Escuela Preparatoria Regional de Tala,,14MMS0655G,
123,123 Módulo San Isidro Mazatepec,Módulo San Isidro Mazatepec,122 Escuela Preparatoria Regional de Tala,14MMS0771X,
124,124 Escuela Preparatoria Regional de Tamazula,Escuela Preparatoria Regional de Tamazula,,14MMS0620R,
125,125 Módulo Contla,Módulo Contla,124 Escuela Preparatoria Regional de Tamazula,14MMS0766L,
126,126 Módulo Lázaro Cárdenas,Módulo Lázaro Cárdenas,124 Escuela Preparatoria Regional de Tamazula,14MMS0690M,
127,127 Módulo Mazamitla,Módulo Mazamitla,124 Escuela Preparatoria Regional de Tamazula,14MMS0722O,
128,128 Módulo Quitupan,Módulo Quitupan,124 Escuela Preparatoria Regional de Tamazula,14MMS0689X,
129,129 Módulo Valle de Juárez,Módulo Valle de Juárez,124 Escuela Preparatoria Regional de Tamazula,14MMS0770Y,
130,130 Módulo Vista Hermosa,Módulo Vista Hermosa,124 Escuela Preparatoria Regional de Tamazula,14MMS0740D,
131,131 Escuela Preparatoria Regional de Tecolotlán,Escuela Preparatoria Regional de Tecolotlán,,14MMS0656F,
132,132 Módulo Chiquilistlán,Módulo Chiquilistlán,131 Escuela Preparatoria Regional de Tecolotlán,14MMS0768J,
133,133 Módulo Juchitlán,Módulo Juchitlán,131 Escuela Preparatoria Regional de Tecolotlán,14MMS0711I,
134,134 Módulo Soyatlán del Oro,Módulo Soyatlán del Oro,131 Escuela Preparatoria Regional de Tecolotlán,14MMS0730X,
135,135 Módulo Tenamaxtlán,Módulo Tenamaxtlán,131 Escuela Preparatoria Regional de Tecolotlán,14MMS0670Z,
136,136 Escuela Preparatoria Regional de Tepatitlán,Escuela Preparatoria Regional de Tepatitlán,,14MMS0632W,
137,137 Módulo Acatic,Módulo Acatic,136 Escuela Preparatoria Regional de Tepatitlán,14MMS0713G,
138,138 Módulo Cañadas de Obregón,Módulo Cañadas de Obregón,136 Escuela Preparatoria Regional de Tepatitlán,14MMS0763O,
139,139 Módulo Valle de Guadalupe,Módulo Valle de Guadalupe,136 Escuela Preparatoria Regional de Tepatitlán,14MMS0715E,
140,140 Módulo Yahualica,Módulo Yahualica,136 Escuela Preparatoria Regional de Tepatitlán,14MMS0716D,
141,141 Escuela Preparatoria Regional de Tequila,Escuela Preparatoria Regional de Tequila,,14MMS0660S,
142,142 Módulo Hostotipaquillo,Módulo Hostotipaquillo,141 Escuela Preparatoria Regional de Tequila,14MMS0719A,
143,143 Módulo La Venta de Mochitiltic,Módulo La Venta de Mochitiltic,141 Escuela Preparatoria Regional de Tequila,14MMS0742B,
144,144 Módulo Magdalena,Módulo Magdalena,141 Escuela Preparatoria Regional de Tequila,14MMS0720Q,
145,145 Módulo San Andrés,Módulo San Andrés,141 Escuela Preparatoria Regional de Tequila,14MMS0743A,
146,146 Escuela Preparatoria Regional de Tlajomulco de Zúñiga,Escuela Preparatoria Regional de Tlajomulco de Zúñiga,,14MMS0657E,
147,147 Módulo Cajititlán,Módulo Cajititlán,146 Escuela Preparatoria Regional de Tlajomulco de Zúñiga,14MMS0721P,
148,148 Módulo San Agustín,Módulo San Agustín,146 Escuela Preparatoria Regional de Tlajomulco de Zúñiga,14MMS0744Z,
149,149 Módulo El Zapote,Módulo El Zapote,146 Escuela Preparatoria Regional de Tlajomulco de Zúñiga,14MMS0817B,
150,150 Escuela Preparatoria Regional de Toluquilla,Escuela Preparatoria Regional de Toluquilla,,14MMS0773V,
151,151 Escuela Preparatoria Regional de Tuxpan,Escuela Preparatoria Regional de Tuxpan,,14MMS0633V,
152,152 Módulo Pihuamo,Módulo Pihuamo,151 Escuela Preparatoria Regional de Tuxpan,14MMS0772W,
153,153 Módulo Tecalitlán,Módulo Tecalitlán,151 Escuela Preparatoria Regional de Tuxpan,14MMS0679Q,
154,154 Módulo Tonila,Módulo Tonila,151 Escuela Preparatoria Regional de Tuxpan,14MMS0723N,
155,155 Escuela Preparatoria Regional de Unión de Tula,Escuela Preparatoria Regional de Unión de Tula,,14MMS0712H,
156,156 Módulo Ayutla,Módulo Ayutla,155 Escuela Preparatoria Regional de Unión de Tula,14MMS0669J,
157,157 Módulo Ejutla,Módulo Ejutla,155 Escuela Preparatoria Regional de Unión de Tula,14MMS0672X,
158,158 Escuela Preparatoria Regional de Villa Corona,Escuela Preparatoria Regional de Villa Corona,,14MMS0708V,
159,159 Módulo Acatlán de Juárez,Módulo Acatlán de Juárez,158 Escuela Preparatoria Regional de Villa Corona,14MMS0767K,
160,160 Escuela Preparatoria Regional de Zacoalco de Torres,Escuela Preparatoria Regional de Zacoalco de Torres,,14MMS0659C,
161,161 Módulo Atemajac de Brizuela,Módulo Atemajac de Brizuela,160 Escuela Preparatoria Regional de Zacoalco de Torres,14MMS0755F,
162,162 Módulo Cítala,Módulo Cítala,160 Escuela Preparatoria Regional de Zacoalco de Torres,14MMS0745Z,
163,163 Módulo Teocuitatlán de Corona,Módulo Teocuitatlán de Corona,160 Escuela Preparatoria Regional de Zacoalco de Torres,14MMS0746Y,
164,164 Módulo Villa Atoyac,Módulo Villa Atoyac,160 Escuela Preparatoria Regional de Zacoalco de Torres,14MMS0724M,
165,165 Escuela Preparatoria Regional de Zapotiltic,Escuela Preparatoria Regional de Zapotiltic,,14MMS0638Q,
166,166 Escuela Preparatoria Regional de Zapotlanejo,Escuela Preparatoria Regional de Zapotlanejo,,14MMS0658D,
167,167 Módulo Matatlán,Módulo Matatlán,166 Escuela Preparatoria Regional de Zapotlanejo,14MMS0725L,
168,168 Escuela Regional de Educación Media Superior de Ocotlán,Escuela Regional de Educación Media Superior de Ocotlán,,14MMS0616E,
169,169 Módulo Atequiza,Módulo Atequiza,168 Escuela Regional de Educación Media Superior de Ocotlán,14MMS0639P,
170,170 Módulo Poncitlán,Módulo Poncitlán,168 Escuela Regional de Educación Media Superior de Ocotlán,14MMS0827I,
171,171 Módulo Tototlán,Módulo Tototlán,168 Escuela Regional de Educación Media Superior de Ocotlán,14MMS0699D,
172,172 Módulo Zapotlán del Rey,Módulo Zapotlán del Rey,168 Escuela Regional de Educación Media Superior de Ocotlán,14MMS0748W,
173,173 Escuela Regional de Educación Media Superior Wixárika ,Escuela Regional de Educación Media Superior Wixárika ,,14MMS0751J,
174,174 Módulo Ocota de la Sierra,Módulo Ocota de la Sierra,173 Escuela Regional de Educación Media Superior Wixárika ,14MMS0830W,
175,175 Escuela Preparatoria de San José del Valle,Escuela Preparatoria de San José del Valle,,14MMS0818A,
176,"176 Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín","Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",,14MMS0775T,
177,177 Centro Universitario de Ciencias de la Salud,Centro Universitario de Ciencias de la Salud,,14MMS0774U,
178,178 Centro Universitario del Sur,Centro Universitario del Sur,,14MMS0777R,
179,179 Sistema de Universidad Virtual,Sistema de Universidad Virtual,,14MMS0749V,
180,180 Centro Universitario de Ciencias Económico Administrativas,Centro Universitario de Ciencias Económico Administrativas,,14USU0120N,
181,181 Centro Universitario de Ciencias Exactas e Ingenierías,Centro Universitario de Ciencias Exactas e Ingenierías,,14USU0110G,
182,182 Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,181 Centro Universitario de Ciencias Exactas e Ingenierías,14USU0010H,
183,183 Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,,14USU0100Z,
184,184 Centro Universitario de Ciencias de la Salud,Centro Universitario de Ciencias de la Salud,,14USU0230T,
185,"185 Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán","Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",,14USU0140A,
186,"186 Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia","Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia","185 Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",14USU0005W,
187,"187 Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín","Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín","185 Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",14USU0006V,
188,188 Centro Universitario de Ciencias Biológicas y Agropecuarias,Centro Universitario de Ciencias Biológicas y Agropecuarias,,14USU0130U,
189,189 Centro Universitario de los Altos,Centro Universitario de los Altos,,14USU0220M,
190,190 Centro Universitario de la Ciénega sede Ocotlán,Centro Universitario de la Ciénega sede Ocotlán,,14USU0160O,
191,191 Centro Universitario de la Ciénega sede Atotonilco,Centro Universitario de la Ciénega sede Atotonilco,190 Centro Universitario de la Ciénega sede Ocotlán,14USU0150H,
192,192 Centro Universitario de la Ciénega sede La Barca,Centro Universitario de la Ciénega sede La Barca,190 Centro Universitario de la Ciénega sede Ocotlán,14USU0170V,
193,193 Centro Universitario del Sur,Centro Universitario del Sur,,14USU0210F,
194,194 Centro Universitario de la Costa sede Puerto Vallarta,Centro Universitario de la Costa sede Puerto Vallarta,,14USU0190I,
195,195 Centro Universitario de la Costa sede Tomatlán,Centro Universitario de la Costa sede Tomatlán,194 Centro Universitario de la Costa sede Puerto Vallarta,14USU0009S,
196,196 Centro Universitario de la Costa Sur sede Autlán,Centro Universitario de la Costa Sur sede Autlán,,14USU0200Z,
197,197 Centro Universitario de la Costa Sur sede San Patricio Melaque,Centro Universitario de la Costa Sur sede San Patricio Melaque,196 Centro Universitario de la Costa Sur sede Autlán,14USU0007U,
198,198 Centro Universitario de los Valles,Centro Universitario de los Valles,,14USU0003Y,
199,199 Centro Universitario del Norte,Centro Universitario del Norte,,14USU0002Z,
200,200 Centro Universitario de los Lagos sede Lagos de Moreno,Centro Universitario de los Lagos sede Lagos de Moreno,,14USU0221L,
201,201 Centro Universitario de los Lagos sede San Juan de los Lagos,Centro Universitario de los Lagos sede San Juan de los Lagos,200 Centro Universitario de los Lagos sede Lagos de Moreno,14USU0222K,
202,202 Centro Universitario de Tonalá,Centro Universitario de Tonalá,,14USU0008T,
203,203 Centro Universitario de Tlajomulco,Centro Universitario de Tlajomulco,,14USU0011G,
204,204 Sistema de Universidad Virtual,Sistema de Universidad Virtual,,14USU0004X,
205,205 Escuela Preparatoria de Jalisco,Escuela Preparatoria de Jalisco,,14USU00041,
206,206 Escuela Preparatoria Núm. 2,Escuela Preparatoria Núm. 2,,14USU00042,
207,207 Escuela Preparatoria Núm. 3,Escuela Preparatoria Núm. 3,,14USU00043,
208,208 Escuela Preparatoria Núm. 4,Escuela Preparatoria Núm. 4,,14USU00044,
209,209 Escuela Preparatoria Núm. 5,Escuela Preparatoria Núm. 5,,14USU00045,
210,210 Escuela Preparatoria Núm. 6,Escuela Preparatoria Núm. 6,,14USU00046,
211,211 Escuela Preparatoria Núm. 7,Escuela Preparatoria Núm. 7,,14USU00047,
212,212 Escuela Preparatoria Núm. 8,Escuela Preparatoria Núm. 8,,14USU00048,
213,213 Módulo Cuquío,Módulo Cuquío,,14USU00049,
214,214 Módulo Ixtlahuacán del Río,Módulo Ixtlahuacán del Río,,14USU00050,
215,215 Escuela Preparatoria Núm. 9,Escuela Preparatoria Núm. 9,,14USU00051,
216,216 Escuela Preparatoria Núm. 10,Escuela Preparatoria Núm. 10,,14USU00052,
217,217 Escuela Preparatoria Núm. 11,Escuela Preparatoria Núm. 11,,14USU00053,
218,218 Escuela Preparatoria Núm. 12,Escuela Preparatoria Núm. 12,,14USU00054,
219,219 Módulo Tlaquepaque,Módulo Tlaquepaque,,14USU00055,
220,220 Escuela Preparatoria Núm. 13,Escuela Preparatoria Núm. 13,,14USU00056,
221,221 Escuela Preparatoria Núm. 14,Escuela Preparatoria Núm. 14,,14USU00057,
222,222 Módulo La Experiencia,Módulo La Experiencia,,14USU00058,
223,223 Escuela Preparatoria Núm. 15,Escuela Preparatoria Núm. 15,,14USU00059,
224,224 Escuela Preparatoria Núm. 16,Escuela Preparatoria Núm. 16,,14USU00060,
225,225 Escuela Preparatoria Núm. 17,Escuela Preparatoria Núm. 17,,14USU00061,
226,226 Escuela Preparatoria Núm. 18,Escuela Preparatoria Núm. 18,,14USU00062,
227,227 Escuela Preparatoria Núm. 19,Escuela Preparatoria Núm. 19,,14USU00063,
228,228 Escuela Preparatoria Núm. 20,Escuela Preparatoria Núm. 20,,14USU00064,
229,229 Escuela Preparatoria Núm. 21,Escuela Preparatoria Núm. 21,,14USU00065,
230,230 Escuela Preparatoria Núm. 22,Escuela Preparatoria Núm. 22,,14USU00066,
231,231 Escuela Vocacional,Escuela Vocacional,,14USU00067,
232,232 Escuela Politécnica de Guadalajara,Escuela Politécnica de Guadalajara,,14USU00068,
233,233 Escuela Politécnica Ing. Jorge Matute Remus,Escuela Politécnica Ing. Jorge Matute Remus,,14USU00069,
234,234 Escuela Preparatoria de Tonalá,Escuela Preparatoria de Tonalá,,14USU00070,
235,235 Escuela Preparatoria de Tonalá Norte,Escuela Preparatoria de Tonalá Norte,,14USU00071,
236,236 Escuela Preparatoria Regional de Ahualulco de Mercado,Escuela Preparatoria Regional de Ahualulco de Mercado,,14USU00072,
237,237 Módulo Teuchitlán,Módulo Teuchitlán,,14USU00073,
238,238 Escuela Preparatoria Regional de Amatitán,Escuela Preparatoria Regional de Amatitán,,14USU00074,
239,239 Módulo Arenal,Módulo Arenal,,14USU00075,
240,240 Módulo El Salvador,Módulo El Salvador,,14USU00076,
241,241 Escuela Preparatoria Regional de Ameca,Escuela Preparatoria Regional de Ameca,,14USU00077,
242,242 Módulo Atenguillo,Módulo Atenguillo,,14USU00078,
243,243 Módulo Mascota,Módulo Mascota,,14USU00079,
244,244 Módulo San Antonio Matute,Módulo San Antonio Matute,,14USU00080,
245,245 Módulo Talpa de Allende,Módulo Talpa de Allende,,14USU00081,
246,246 Escuela Preparatoria Regional de Arandas,Escuela Preparatoria Regional de Arandas,,14USU00082,
247,247 Módulo Jesús María,Módulo Jesús María,,14USU00083,
