orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
100,SEMS,14MMS0628J,14MMS0697F,Módulo Ojuelos,Módulo Ojuelos,Módulo,Regional,Región Altos Norte,Ojuelos de Jalisco,
182,CUCSH,,14USU0100Z,Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,CUCSH-La Normal,Centro Universitario,Regional,Región Centro,Guadalajara,
183,CUCSH,14USU0100Z,14USU0010H,Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,CUCSH-Belenes,Sede CU,Regional,Región Centro,Zapopan,
