name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2019B 1 14MMS0607X BGC,1,2019-2020,2019,B,14MMS0607X,BGC,,,,1248,,,,420,,,,828,,163.415,148.968
2019B 2 14MMS0608W BGC,2,2019-2020,2019,B,14MMS0608W,BGC,,,,1863,,,,630,,,,1233,,158.125,144.175
2019B 3 14MMS0609V BGC,3,2019-2020,2019,B,14MMS0609V,BGC,,,,1119,,,,350,,,,769,,167.279,151.664
2019B 4 14MMS0610K BGC,4,2019-2020,2019,B,14MMS0610K,BGC,,,,914,,,,360,,,,554,,166.459,150.529
2019B 5 14MMS0611J BGC,5,2019-2020,2019,B,14MMS0611J,BGC,,,,1327,,,,400,,,,927,,177.685,166.169
2019B 6 14MMS0612I BGC,6,2019-2020,2019,B,14MMS0612I,BGC,,,,1967,,,,720,,,,1247,,161.089,147.731
2019B 7 14MMS0613H BGC,7,2019-2020,2019,B,14MMS0613H,BGC,,,,2058,,,,900,,,,1158,,156.489,136.731
2019B 8 14MMS0647Y BGC,8,2019-2020,2019,B,14MMS0647Y,BGC,,,,1550,,,,540,,,,1010,,154.708,142.257
2019B 9 14MMS0648X BGC,9,2019-2020,2019,B,14MMS0648X,BGC,,,,1351,,,,500,,,,851,,168.789,153.345
2019B 10 14MMS0649W BGC,10,2019-2020,2019,B,14MMS0649W,BGC,,,,1873,,,,720,,,,1153,,162.13,145.311
2019B 11 14MMS0650L BGC,11,2019-2020,2019,B,14MMS0650L,BGC,,,,1440,,,,480,,,,960,,164.905,151.1
2019B 12 14MMS0650L 3093100005,12,2019-2020,2019,B,14MMS0650L,3093100005,,,,161,,,,80,,,,81,,154.92,119.745
2019B 13 14MMS0650L 3095300007,13,2019-2020,2019,B,14MMS0650L,3095300007,,,,180,,,,80,,,,100,,167.868,143.315
2019B 14 14MMS0646Z BGC,14,2019-2020,2019,B,14MMS0646Z,BGC,,,,1334,,,,900,,,,434,,139.655,115.045
2019B 15 14MMS0640E BGC,15,2019-2020,2019,B,14MMS0640E,BGC,,,,312,,,,180,,,,132,,145.313,121.712
2019B 16 14MMS0615F BGC,16,2019-2020,2019,B,14MMS0615F,BGC,,,,1707,,,,400,,,,1307,,170.42,160.215
2019B 17 14MMS0630Y BGC,17,2019-2020,2019,B,14MMS0630Y,BGC,,,,1082,,,,360,,,,722,,158.465,146.428
2019B 18 14MMS0641D BGC,18,2019-2020,2019,B,14MMS0641D,BGC,,,,220,,,,90,,,,130,,151.963,136.841
2019B 19 14MMS0631X BGC,19,2019-2020,2019,B,14MMS0631X,BGC,,,,1336,,,,560,,,,776,,160.149,140.957
2019B 20 14MMS0636S BGC,20,2019-2020,2019,B,14MMS0636S,BGC,,,,892,,,,480,,,,412,,144.09,119.578
2019B 21 14MMS0752I BGC,21,2019-2020,2019,B,14MMS0752I,BGC,,,,914,,,,270,,,,644,,161.74,150
2019B 22 14MMS0752I 3073200001,22,2019-2020,2019,B,14MMS0752I,3073200001,,,,300,,,,90,,,,210,,156.448,144.69
2019B 23 14MMS0752I 3061300004,23,2019-2020,2019,B,14MMS0752I,3061300004,,,,249,,,,90,,,,159,,158.514,144.434
2019B 24 14MMS0753H BGC,24,2019-2020,2019,B,14MMS0753H,BGC,,,,1282,,,,450,,,,832,,152.79,139.944
2019B 25 14MMS0757D BGC,25,2019-2020,2019,B,14MMS0757D,BGC,,,,1165,,,,450,,,,715,,155.436,140.811
2019B 26 14MMS0756E BGC,26,2019-2020,2019,B,14MMS0756E,BGC,,,,1171,,,,450,,,,721,,152.484,140.51
2019B 27 14MMS0844Z BGC,27,2019-2020,2019,B,14MMS0844Z,BGC,,,,705,,,,350,,,,355,,144.335,114.81
2019B 28 14MMS0776S 2071200002,28,2019-2020,2019,B,14MMS0776S,2071200002,,,,130,,,,90,,,,40,,144.126,128.306
2019B 29 14MMS0776S 2072400003,29,2019-2020,2019,B,14MMS0776S,2072400003,,,,65,,,,65,,,,0,,126.607,
