ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2020-2021,14MMS0610K,BGC,Escolarizada,417,651,,1068,0,1,,1,1,0,,1,0,0,,0,0,0,,0,1,0,,1,6,10,,16,0,0,,0,0,0,,0,8,11,,19,0,0,,0
2020-2021,14MMS0610K,BGAI,Escolarizada,80,63,,143,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2020-2021,14MMS0611J,BGC,Escolarizada,493,767,,1260,1,2,,3,0,0,,0,0,0,,0,1,0,,1,0,0,,0,7,10,,17,1,0,,1,0,0,,0,10,12,,22,0,0,,0
2020-2021,14MMS0611J,BGC,Escolarizada,495,725,,1220,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,9,6,,15,0,0,,0,0,0,,0,9,8,,17,0,0,,0
2020-2021,14MMS0612I,BGC,Escolarizada,866,1372,,2238,1,0,,1,0,0,,0,0,0,,0,2,1,,3,0,1,,1,14,18,,32,0,1,,1,0,0,,0,17,21,,38,0,2,,2
2020-2021,14MMS0612I,BGC,Escolarizada,838,1356,,2194,0,3,,3,0,0,,0,0,0,,0,1,1,,2,0,0,,0,9,17,,26,0,0,,0,0,0,,0,10,21,,31,0,1,,1
2020-2021,14MMS0613H,BGC,Escolarizada,1169,1483,,2652,2,1,,3,1,0,,1,0,0,,0,0,0,,0,6,3,,9,15,17,,32,0,0,,0,0,1,,1,24,22,,46,5,7,,12
2020-2021,14MMS0613H,BGC,Escolarizada,1138,1438,,2576,2,1,,3,1,0,,1,1,0,,1,0,1,,1,5,5,,10,17,9,,26,0,1,,1,0,0,,0,26,17,,43,1,2,,3
2020-2021,14MMS0614G,BGC,Escolarizada,862,1426,,2288,2,2,,4,1,0,,1,0,0,,0,2,1,,3,0,0,,0,15,23,,38,0,1,,1,0,0,,0,20,27,,47,0,0,,0
2020-2021,14MMS0614G,BGC,Escolarizada,880,1313,,2193,0,2,,2,1,1,,2,0,0,,0,0,0,,0,1,0,,1,12,17,,29,0,0,,0,0,0,,0,14,20,,34,0,0,,0
2020-2021,14MMS0615F,BGC,Escolarizada,456,744,,1200,0,1,,1,1,0,,1,0,0,,0,0,0,,0,0,1,,1,3,12,,15,0,0,,0,0,0,,0,4,14,,18,0,0,,0
2020-2021,14MMS0615F,BGC,Escolarizada,433,710,,1143,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,4,13,,17,0,1,,1,0,0,,0,5,14,,19,0,0,,0
2020-2021,14MMS0616E,BGC,Escolarizada,226,297,,523,0,0,,0,2,0,,2,0,0,,0,0,3,,3,0,0,,0,3,6,,9,0,0,,0,0,0,,0,5,9,,14,0,0,,0
2020-2021,14MMS0616E,BGC,Escolarizada,181,251,,432,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,0,,0,0,0,,0,4,3,,7,0,0,,0
2020-2021,14MMS0617D,BGC,Escolarizada,245,355,,600,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,0,,0,0,0,,0,4,3,,7,1,0,,1
2020-2021,14MMS0617D,BGC,Escolarizada,229,309,,538,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,2,2,,4,0,0,,0,1,0,,1,3,3,,6,0,0,,0
2020-2021,14MMS0618C,BGC,Escolarizada,392,474,,866,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,3,8,,11,0,0,,0,0,0,,0,4,8,,12,0,0,,0
2020-2021,14MMS0618C,BGC,Escolarizada,321,458,,779,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,2,,5,0,0,,0,0,0,,0,5,2,,7,0,0,,0
2020-2021,14MMS0618C,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0619B,BGC,Escolarizada,295,408,,703,2,0,,2,1,0,,1,0,0,,0,0,0,,0,1,0,,1,8,5,,13,0,0,,0,0,0,,0,12,5,,17,0,1,,1
2020-2021,14MMS0619B,BGC,Escolarizada,293,371,,664,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,7,6,,13,0,1,,1,0,1,,1,7,8,,15,0,0,,0
2020-2021,14MMS0619B,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0620R,BGC,Escolarizada,125,166,,291,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,1,,1,0,0,,0
2020-2021,14MMS0620R,BGC,Escolarizada,100,105,,205,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,1,0,,1,0,0,,0
2020-2021,14MMS0620R,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
