name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-67 - 2018 - CUVALLES,67,2018,CUVALLES,Candidato,16,15,,31
311 Investigadores-68 - 2019 - CUVALLES,68,2019,CUVALLES,Nivel I,51,25,,76
311 Investigadores-69 - 2020 - CUVALLES,69,2020,CUVALLES,Nivel II,4,0,,4
311 Investigadores-70 - 2021 - CUVALLES,70,2021,CUVALLES,Nivel III,0,0,,0
311 Investigadores-71 - 2022 - CUVALLES,71,2022,CUVALLES,Emérito,0,0,,0
311 Investigadores-72 - 2023 - CUVALLES,72,2023,CUVALLES,SNCA,0,0,,0
311 Investigadores-73 - 2018 - CUNORTE,73,2018,CUNORTE,Candidato,7,4,,11
311 Investigadores-74 - 2019 - CUNORTE,74,2019,CUNORTE,Nivel I,11,10,,21
311 Investigadores-75 - 2020 - CUNORTE,75,2020,CUNORTE,Nivel II,2,1,,3
311 Investigadores-76 - 2021 - CUNORTE,76,2021,CUNORTE,Nivel III,0,0,,0
311 Investigadores-77 - 2022 - CUNORTE,77,2022,CUNORTE,Emérito,0,0,,0
311 Investigadores-78 - 2023 - CUNORTE,78,2023,CUNORTE,SNCA,0,0,,0
311 Investigadores-79 - 2018 - CULAGOS,79,2018,CULAGOS,Candidato,11,5,,16
311 Investigadores-80 - 2019 - CULAGOS,80,2019,CULAGOS,Nivel I,35,13,,48
311 Investigadores-81 - 2020 - CULAGOS,81,2020,CULAGOS,Nivel II,7,1,,8
311 Investigadores-82 - 2021 - CULAGOS,82,2021,CULAGOS,Nivel III,0,0,,0
311 Investigadores-83 - 2022 - CULAGOS,83,2022,CULAGOS,Emérito,0,0,,0
311 Investigadores-84 - 2023 - CULAGOS,84,2023,CULAGOS,SNCA,0,0,,0
311 Investigadores-85 - 2018 - CUTONALÁ,85,2018,CUTONALÁ,Candidato,13,15,,28
311 Investigadores-86 - 2019 - CUTONALÁ,86,2019,CUTONALÁ,Nivel I,44,29,,73
311 Investigadores-87 - 2020 - CUTONALÁ,87,2020,CUTONALÁ,Nivel II,3,1,,4
311 Investigadores-88 - 2021 - CUTONALÁ,88,2021,CUTONALÁ,Nivel III,0,0,,0
311 Investigadores-89 - 2022 - CUTONALÁ,89,2022,CUTONALÁ,Emérito,0,0,,0
311 Investigadores-90 - 2023 - CUTONALÁ,90,2023,CUTONALÁ,SNCA,0,0,,0
311 Investigadores-91 - 2018 - CUTLAJOMULCO,91,2018,CUTLAJOMULCO,Candidato,9,7,,16
311 Investigadores-92 - 2019 - CUTLAJOMULCO,92,2019,CUTLAJOMULCO,Nivel I,6,1,,7
