name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2020-2021 14MMS0607X BGC,1,2020-2021,14MMS0607X,BGC,Escolarizada,182,240,,422,,,,10,,,,1,,,,,,,,,,,,
2 2020-2021 14MMS0607X BGC,2,2020-2021,14MMS0607X,BGC,Escolarizada,175,246,,421,,,,9,,,,1,,,,,,,,,,,,
3 2020-2021 14MMS0608W BGC,3,2020-2021,14MMS0608W,BGC,Escolarizada,214,297,,511,,,,10,,,,0,,,,,,,,,,,,
4 2020-2021 14MMS0608W BGC,4,2020-2021,14MMS0608W,BGC,Escolarizada,213,298,,511,,,,9,,,,0,,,,,,,,,,,,
5 2020-2021 14MMS0609V BGC,5,2020-2021,14MMS0609V,BGC,Escolarizada,141,181,,322,,,,5,,,,0,,,,,,,,,,,,
6 2020-2021 14MMS0609V BGC,6,2020-2021,14MMS0609V,BGC,Escolarizada,134,188,,322,,,,7,,,,0,,,,,,,,,,,,
7 2020-2021 14MMS0610K BGC,7,2020-2021,14MMS0610K,BGC,Escolarizada,155,210,,365,,,,4,,,,0,,,,,,,,,,,,
8 2020-2021 14MMS0610K BGC,8,2020-2021,14MMS0610K,BGC,Escolarizada,148,217,,365,,,,14,,,,0,,,,,,,,,,,,
9 2020-2021 14MMS0611J BGC,9,2020-2021,14MMS0611J,BGC,Escolarizada,167,223,,390,,,,7,,,,0,,,,,,,,,,,,
10 2020-2021 14MMS0611J BGC,10,2020-2021,14MMS0611J,BGC,Escolarizada,170,220,,390,,,,8,,,,0,,,,,,,,,,,,
11 2020-2021 14MMS0612I BGC,11,2020-2021,14MMS0612I,BGC,Escolarizada,301,418,,719,,,,11,,,,1,,,,,,,,,,,,
12 2020-2021 14MMS0612I BGC,12,2020-2021,14MMS0612I,BGC,Escolarizada,279,439,,718,,,,16,,,,0,,,,,,,,,,,,
13 2020-2021 14MMS0613H BGC,13,2020-2021,14MMS0613H,BGC,Escolarizada,308,443,,751,,,,13,,,,1,,,,,,,,,,,,
14 2020-2021 14MMS0613H BGC,14,2020-2021,14MMS0613H,BGC,Escolarizada,309,442,,751,,,,19,,,,0,,,,,,,,,,,,
15 2020-2021 14MMS0614G BGC,15,2020-2021,14MMS0614G,BGC,Escolarizada,285,442,,727,,,,14,,,,0,,,,,,,,,,,,
16 2020-2021 14MMS0614G BGC,16,2020-2021,14MMS0614G,BGC,Escolarizada,311,415,,726,,,,15,,,,2,,,,,,,,,,,,
17 2020-2021 14MMS0615F BGC,17,2020-2021,14MMS0615F,BGC,Escolarizada,134,177,,311,,,,3,,,,0,,,,,,,,,,,,
18 2020-2021 14MMS0615F BGC,18,2020-2021,14MMS0615F,BGC,Escolarizada,124,187,,311,,,,9,,,,0,,,,,,,,,,,,
19 2020-2021 14MMS0616E BGC,19,2020-2021,14MMS0616E,BGC,Escolarizada,50,82,,132,,,,7,,,,0,,,,,,,,,,,,
20 2020-2021 14MMS0616E BGC,20,2020-2021,14MMS0616E,BGC,Escolarizada,58,74,,132,,,,5,,,,0,,,,,,,,,,,,
21 2020-2021 14MMS0617D BGC,21,2020-2021,14MMS0617D,BGC,Escolarizada,53,102,,155,,,,2,,,,0,,,,,,,,,,,,
22 2020-2021 14MMS0617D BGC,22,2020-2021,14MMS0617D,BGC,Escolarizada,70,84,,154,,,,3,,,,0,,,,,,,,,,,,
23 2020-2021 14MMS0618C BGC,23,2020-2021,14MMS0618C,BGC,Escolarizada,101,123,,224,,,,5,,,,0,,,,,,,,,,,,
24 2020-2021 14MMS0618C BGC,24,2020-2021,14MMS0618C,BGC,Escolarizada,96,128,,224,,,,7,,,,0,,,,,,,,,,,,
25 2020-2021 14MMS0619B BGC,25,2020-2021,14MMS0619B,BGC,Escolarizada,83,122,,205,,,,9,,,,1,,,,,,,,,,,,
26 2020-2021 14MMS0619B BGC,26,2020-2021,14MMS0619B,BGC,Escolarizada,91,113,,204,,,,9,,,,0,,,,,,,,,,,,
27 2020-2021 14MMS0620R BGC,27,2020-2021,14MMS0620R,BGC,Escolarizada,23,32,,55,,,,0,,,,0,,,,,,,,,,,,
