name,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023 PA DTC Asistente C de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Asistente,C,0,0,,0
712-2023 PA DTC Asistente C de SUV,2023,SUV,DTC,Asistente,C,0,0,,0
712-2023 PA DTC Asistente C de SEMS,2023,SEMS,DTC,Asistente,C,41,44,,85
712-2023 PA DTC Asistente C de AG,2023,AG,DTC,Asistente,C,0,0,,0
712-2023 PA DTC Asociado A de CUCEA,2023,CUCEA,DTC,Asociado,A,14,13,,27
712-2023 PA DTC Asociado A de CUCEI,2023,CUCEI,DTC,Asociado,A,14,7,,21
712-2023 PA DTC Asociado A de CUCSH,2023,CUCSH,DTC,Asociado,A,13,14,,27
712-2023 PA DTC Asociado A de CUCS,2023,CUCS,DTC,Asociado,A,16,12,,28
712-2023 PA DTC Asociado A de CUAAD,2023,CUAAD,DTC,Asociado,A,11,4,,15
712-2023 PA DTC Asociado A de CUCBA,2023,CUCBA,DTC,Asociado,A,8,5,,13
712-2023 PA DTC Asociado A de CUALTOS,2023,CUALTOS,DTC,Asociado,A,4,4,,8
712-2023 PA DTC Asociado A de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Asociado,A,7,5,,12
712-2023 PA DTC Asociado A de CUSUR,2023,CUSUR,DTC,Asociado,A,5,1,,6
712-2023 PA DTC Asociado A de CUCOSTA,2023,CUCOSTA,DTC,Asociado,A,5,0,,5
712-2023 PA DTC Asociado A de CUCOSTASUR,2023,CUCOSTASUR,DTC,Asociado,A,6,2,,8
712-2023 PA DTC Asociado A de CUVALLES,2023,CUVALLES,DTC,Asociado,A,2,6,,8
712-2023 PA DTC Asociado A de CUNORTE,2023,CUNORTE,DTC,Asociado,A,4,0,,4
712-2023 PA DTC Asociado A de CULAGOS,2023,CULAGOS,DTC,Asociado,A,3,1,,4
712-2023 PA DTC Asociado A de CUTONALÁ,2023,CUTONALÁ,DTC,Asociado,A,9,8,,17
712-2023 PA DTC Asociado A de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Asociado,A,0,2,,2
712-2023 PA DTC Asociado A de SUV,2023,SUV,DTC,Asociado,A,2,1,,3
712-2023 PA DTC Asociado A de SEMS,2023,SEMS,DTC,Asociado,A,133,136,,269
712-2023 PA DTC Asociado A de AG,2023,AG,DTC,Asociado,A,0,0,,0
712-2023 PA DTC Asociado B de CUCEA,2023,CUCEA,DTC,Asociado,B,16,14,,30
712-2023 PA DTC Asociado B de CUCEI,2023,CUCEI,DTC,Asociado,B,11,9,,20
712-2023 PA DTC Asociado B de CUCSH,2023,CUCSH,DTC,Asociado,B,12,16,,28
712-2023 PA DTC Asociado B de CUCS,2023,CUCS,DTC,Asociado,B,18,13,,31
712-2023 PA DTC Asociado B de CUAAD,2023,CUAAD,DTC,Asociado,B,5,4,,9
712-2023 PA DTC Asociado B de CUCBA,2023,CUCBA,DTC,Asociado,B,10,5,,15
712-2023 PA DTC Asociado B de CUALTOS,2023,CUALTOS,DTC,Asociado,B,9,8,,17
712-2023 PA DTC Asociado B de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Asociado,B,3,4,,7
712-2023 PA DTC Asociado B de CUSUR,2023,CUSUR,DTC,Asociado,B,7,5,,12
712-2023 PA DTC Asociado B de CUCOSTA,2023,CUCOSTA,DTC,Asociado,B,5,2,,7
712-2023 PA DTC Asociado B de CUCOSTASUR,2023,CUCOSTASUR,DTC,Asociado,B,1,2,,3
712-2023 PA DTC Asociado B de CUVALLES,2023,CUVALLES,DTC,Asociado,B,4,6,,10
712-2023 PA DTC Asociado B de CUNORTE,2023,CUNORTE,DTC,Asociado,B,3,4,,7
712-2023 PA DTC Asociado B de CULAGOS,2023,CULAGOS,DTC,Asociado,B,3,1,,4
712-2023 PA DTC Asociado B de CUTONALÁ,2023,CUTONALÁ,DTC,Asociado,B,6,9,,15
712-2023 PA DTC Asociado B de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Asociado,B,2,0,,2
712-2023 PA DTC Asociado B de SUV,2023,SUV,DTC,Asociado,B,5,2,,7
712-2023 PA DTC Asociado B de SEMS,2023,SEMS,DTC,Asociado,B,148,137,,285
712-2023 PA DTC Asociado B de AG,2023,AG,DTC,Asociado,B,0,0,,0
712-2023 PA DTC Asociado C de CUCEA,2023,CUCEA,DTC,Asociado,C,12,7,,19
712-2023 PA DTC Asociado C de CUCEI,2023,CUCEI,DTC,Asociado,C,8,4,,12
712-2023 PA DTC Asociado C de CUCSH,2023,CUCSH,DTC,Asociado,C,13,9,,22
712-2023 PA DTC Asociado C de CUCS,2023,CUCS,DTC,Asociado,C,10,9,,19
712-2023 PA DTC Asociado C de CUAAD,2023,CUAAD,DTC,Asociado,C,1,2,,3
712-2023 PA DTC Asociado C de CUCBA,2023,CUCBA,DTC,Asociado,C,11,2,,13
712-2023 PA DTC Asociado C de CUALTOS,2023,CUALTOS,DTC,Asociado,C,2,3,,5
712-2023 PA DTC Asociado C de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Asociado,C,3,1,,4
712-2023 PA DTC Asociado C de CUSUR,2023,CUSUR,DTC,Asociado,C,3,0,,3
712-2023 PA DTC Asociado C de CUCOSTA,2023,CUCOSTA,DTC,Asociado,C,2,2,,4
712-2023 PA DTC Asociado C de CUCOSTASUR,2023,CUCOSTASUR,DTC,Asociado,C,2,0,,2
712-2023 PA DTC Asociado C de CUVALLES,2023,CUVALLES,DTC,Asociado,C,2,2,,4
712-2023 PA DTC Asociado C de CUNORTE,2023,CUNORTE,DTC,Asociado,C,2,0,,2
712-2023 PA DTC Asociado C de CULAGOS,2023,CULAGOS,DTC,Asociado,C,1,2,,3
712-2023 PA DTC Asociado C de CUTONALÁ,2023,CUTONALÁ,DTC,Asociado,C,1,3,,4
712-2023 PA DTC Asociado C de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Asociado,C,1,2,,3
712-2023 PA DTC Asociado C de SUV,2023,SUV,DTC,Asociado,C,3,5,,8
712-2023 PA DTC Asociado C de SEMS,2023,SEMS,DTC,Asociado,C,88,58,,146
712-2023 PA DTC Asociado C de AG,2023,AG,DTC,Asociado,C,0,0,,0
712-2023 PA DTC Titular A de CUCEA,2023,CUCEA,DTC,Titular,A,16,3,,19
712-2023 PA DTC Titular A de CUCEI,2023,CUCEI,DTC,Titular,A,13,4,,17
712-2023 PA DTC Titular A de CUCSH,2023,CUCSH,DTC,Titular,A,26,15,,41
712-2023 PA DTC Titular A de CUCS,2023,CUCS,DTC,Titular,A,14,13,,27
712-2023 PA DTC Titular A de CUAAD,2023,CUAAD,DTC,Titular,A,13,9,,22
712-2023 PA DTC Titular A de CUCBA,2023,CUCBA,DTC,Titular,A,4,3,,7
712-2023 PA DTC Titular A de CUALTOS,2023,CUALTOS,DTC,Titular,A,7,2,,9
712-2023 PA DTC Titular A de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Titular,A,4,1,,5
712-2023 PA DTC Titular A de CUSUR,2023,CUSUR,DTC,Titular,A,11,0,,11
712-2023 PA DTC Titular A de CUCOSTA,2023,CUCOSTA,DTC,Titular,A,2,0,,2
712-2023 PA DTC Titular A de CUCOSTASUR,2023,CUCOSTASUR,DTC,Titular,A,4,1,,5
712-2023 PA DTC Titular A de CUVALLES,2023,CUVALLES,DTC,Titular,A,3,3,,6
712-2023 PA DTC Titular A de CUNORTE,2023,CUNORTE,DTC,Titular,A,2,1,,3
712-2023 PA DTC Titular A de CULAGOS,2023,CULAGOS,DTC,Titular,A,2,1,,3
712-2023 PA DTC Titular A de CUTONALÁ,2023,CUTONALÁ,DTC,Titular,A,11,9,,20
712-2023 PA DTC Titular A de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Titular,A,1,0,,1
712-2023 PA DTC Titular A de SUV,2023,SUV,DTC,Titular,A,2,4,,6
712-2023 PA DTC Titular A de SEMS,2023,SEMS,DTC,Titular,A,57,42,,99
712-2023 PA DTC Titular A de AG,2023,AG,DTC,Titular,A,0,0,,0
712-2023 PA DTC Titular B de CUCEA,2023,CUCEA,DTC,Titular,B,15,2,,17
712-2023 PA DTC Titular B de CUCEI,2023,CUCEI,DTC,Titular,B,7,4,,11
712-2023 PA DTC Titular B de CUCSH,2023,CUCSH,DTC,Titular,B,11,5,,16
712-2023 PA DTC Titular B de CUCS,2023,CUCS,DTC,Titular,B,6,4,,10
712-2023 PA DTC Titular B de CUAAD,2023,CUAAD,DTC,Titular,B,2,0,,2
712-2023 PA DTC Titular B de CUCBA,2023,CUCBA,DTC,Titular,B,3,2,,5
712-2023 PA DTC Titular B de CUALTOS,2023,CUALTOS,DTC,Titular,B,1,2,,3
712-2023 PA DTC Titular B de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Titular,B,3,0,,3
712-2023 PA DTC Titular B de CUSUR,2023,CUSUR,DTC,Titular,B,1,1,,2
712-2023 PA DTC Titular B de CUCOSTA,2023,CUCOSTA,DTC,Titular,B,0,0,,0
712-2023 PA DTC Titular B de CUCOSTASUR,2023,CUCOSTASUR,DTC,Titular,B,0,0,,0
712-2023 PA DTC Titular B de CUVALLES,2023,CUVALLES,DTC,Titular,B,2,0,,2
712-2023 PA DTC Titular B de CUNORTE,2023,CUNORTE,DTC,Titular,B,0,0,,0
712-2023 PA DTC Titular B de CULAGOS,2023,CULAGOS,DTC,Titular,B,2,0,,2
712-2023 PA DTC Titular B de CUTONALÁ,2023,CUTONALÁ,DTC,Titular,B,3,0,,3
712-2023 PA DTC Titular B de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Titular,B,0,0,,0
712-2023 PA DTC Titular B de SUV,2023,SUV,DTC,Titular,B,0,2,,2
712-2023 PA DTC Titular B de SEMS,2023,SEMS,DTC,Titular,B,22,24,,46
712-2023 PA DTC Titular B de AG,2023,AG,DTC,Titular,B,0,0,,0
712-2023 PA DTC Titular C de CUCEA,2023,CUCEA,DTC,Titular,C,14,2,,16
712-2023 PA DTC Titular C de CUCEI,2023,CUCEI,DTC,Titular,C,5,3,,8
712-2023 PA DTC Titular C de CUCSH,2023,CUCSH,DTC,Titular,C,9,9,,18
712-2023 PA DTC Titular C de CUCS,2023,CUCS,DTC,Titular,C,16,6,,22
712-2023 PA DTC Titular C de CUAAD,2023,CUAAD,DTC,Titular,C,4,1,,5
712-2023 PA DTC Titular C de CUCBA,2023,CUCBA,DTC,Titular,C,8,2,,10
712-2023 PA DTC Titular C de CUALTOS,2023,CUALTOS,DTC,Titular,C,1,0,,1
712-2023 PA DTC Titular C de CUCIÉNEGA,2023,CUCIÉNEGA,DTC,Titular,C,1,1,,2
712-2023 PA DTC Titular C de CUSUR,2023,CUSUR,DTC,Titular,C,5,1,,6
712-2023 PA DTC Titular C de CUCOSTA,2023,CUCOSTA,DTC,Titular,C,0,2,,2
712-2023 PA DTC Titular C de CUCOSTASUR,2023,CUCOSTASUR,DTC,Titular,C,4,2,,6
712-2023 PA DTC Titular C de CUVALLES,2023,CUVALLES,DTC,Titular,C,1,1,,2
712-2023 PA DTC Titular C de CUNORTE,2023,CUNORTE,DTC,Titular,C,0,1,,1
712-2023 PA DTC Titular C de CULAGOS,2023,CULAGOS,DTC,Titular,C,0,0,,0
712-2023 PA DTC Titular C de CUTONALÁ,2023,CUTONALÁ,DTC,Titular,C,1,2,,3
712-2023 PA DTC Titular C de CUTLAJOMULCO,2023,CUTLAJOMULCO,DTC,Titular,C,0,0,,0
712-2023 PA DTC Titular C de SUV,2023,SUV,DTC,Titular,C,1,2,,3
712-2023 PA DTC Titular C de SEMS,2023,SEMS,DTC,Titular,C,29,21,,50
712-2023 PA DTC Titular C de AG,2023,AG,DTC,Titular,C,0,0,,0
712-2023 PA DMT Asistente A de CUCEA,2023,CUCEA,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCEI,2023,CUCEI,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCSH,2023,CUCSH,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCS,2023,CUCS,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUAAD,2023,CUAAD,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCBA,2023,CUCBA,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUALTOS,2023,CUALTOS,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCIÉNEGA,2023,CUCIÉNEGA,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUSUR,2023,CUSUR,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCOSTA,2023,CUCOSTA,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUCOSTASUR,2023,CUCOSTASUR,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUVALLES,2023,CUVALLES,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUNORTE,2023,CUNORTE,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CULAGOS,2023,CULAGOS,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUTONALÁ,2023,CUTONALÁ,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de CUTLAJOMULCO,2023,CUTLAJOMULCO,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de SUV,2023,SUV,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de SEMS,2023,SEMS,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente A de AG,2023,AG,DMT,Asistente,A,0,0,,0
712-2023 PA DMT Asistente B de CUCEA,2023,CUCEA,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCEI,2023,CUCEI,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCSH,2023,CUCSH,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCS,2023,CUCS,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUAAD,2023,CUAAD,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCBA,2023,CUCBA,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUALTOS,2023,CUALTOS,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCIÉNEGA,2023,CUCIÉNEGA,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUSUR,2023,CUSUR,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCOSTA,2023,CUCOSTA,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUCOSTASUR,2023,CUCOSTASUR,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUVALLES,2023,CUVALLES,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUNORTE,2023,CUNORTE,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CULAGOS,2023,CULAGOS,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUTONALÁ,2023,CUTONALÁ,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de CUTLAJOMULCO,2023,CUTLAJOMULCO,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de SUV,2023,SUV,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente B de SEMS,2023,SEMS,DMT,Asistente,B,3,0,,3
712-2023 PA DMT Asistente B de AG,2023,AG,DMT,Asistente,B,0,0,,0
712-2023 PA DMT Asistente C de CUCEA,2023,CUCEA,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUCEI,2023,CUCEI,DMT,Asistente,C,2,1,,3
712-2023 PA DMT Asistente C de CUCSH,2023,CUCSH,DMT,Asistente,C,1,1,,2
712-2023 PA DMT Asistente C de CUCS,2023,CUCS,DMT,Asistente,C,1,1,,2
712-2023 PA DMT Asistente C de CUAAD,2023,CUAAD,DMT,Asistente,C,4,0,,4
712-2023 PA DMT Asistente C de CUCBA,2023,CUCBA,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUALTOS,2023,CUALTOS,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUCIÉNEGA,2023,CUCIÉNEGA,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUSUR,2023,CUSUR,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUCOSTA,2023,CUCOSTA,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUCOSTASUR,2023,CUCOSTASUR,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUVALLES,2023,CUVALLES,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CUNORTE,2023,CUNORTE,DMT,Asistente,C,0,0,,0
712-2023 PA DMT Asistente C de CULAGOS,2023,CULAGOS,DMT,Asistente,C,0,0,,0
