name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2020A 274 14USU0230T 4095300010,274,2019-2020,2020,A,14USU0230T,4095300010,,,,191,,,,90,,,,101,47.12,90,129.75
2020A 275 14USU0230T 4094100005,275,2019-2020,2020,A,14USU0230T,4094100005,,,,324,,,,60,,,,264,18.52,60,153.6667
2020A 276 14USU0230T 4094100010,276,2019-2020,2020,A,14USU0230T,4094100010,,,,34,,,,30,,,,4,88.24,30,110.3333
2020A 277 14USU0100Z 5033100003,277,2019-2020,2020,A,14USU0100Z,5033100003,,,,1088,,,,420,,,,668,38.60,420,140.8867
2020A 278 14USU0100Z 5033100003,278,2019-2020,2020,A,14USU0100Z,5033100003,,,,424,,,,200,,,,224,47.17,200,130.5833
2020A 279 14USU0100Z 5031200004,279,2019-2020,2020,A,14USU0100Z,5031200004,,,,63,,,,38,,,,25,60.32,38,128.5367
2020A 280 14USU0100Z 5022600002,280,2019-2020,2020,A,14USU0100Z,5022600002,,,,68,,,,64,,,,4,94.12,64,113.0833
2020A 281 14USU0100Z 5052300015,281,2019-2020,2020,A,14USU0100Z,5052300015,,,,47,,,,47,,,,0,100.00,50,109.0833
2020A 282 14USU0100Z 5022500008,282,2019-2020,2020,A,14USU0100Z,5022500008,,,,101,,,,76,,,,25,75.25,76,126.25
2020A 283 14USU0100Z 5022300022,283,2019-2020,2020,A,14USU0100Z,5022300022,,,,148,,,,57,,,,91,38.51,57,152.22
2020A 284 14USU0010H 5032100027,284,2019-2020,2020,A,14USU0010H,5032100027,,,,118,,,,35,,,,83,29.66,35,145.5667
2020A 285 14USU0010H 5033200006,285,2019-2020,2020,A,14USU0010H,5033200006,,,,370,,,,90,,,,280,24.32,90,144.4267
2020A 286 14USU0010H 5031300010,286,2019-2020,2020,A,14USU0010H,5031300010,,,,98,,,,80,,,,18,81.63,80,120.91
2020A 287 14USU0010H 5031300014,287,2019-2020,2020,A,14USU0010H,5031300014,,,,210,,,,80,,,,130,38.10,80,157.2133
2020A 288 14USU0010H 5031200031,288,2019-2020,2020,A,14USU0010H,5031200031,,,,60,,,,60,,,,0,100.00,100,107.5833
2020A 289 14USU0010H 5031500010,289,2019-2020,2020,A,14USU0010H,5031500010,,,,405,,,,153,,,,252,37.78,153,131.2333
2020A 290 14USU0010H 5031500010,290,2019-2020,2020,A,14USU0010H,5031500010,,,,28,,,,28,,,,0,100.00,28,62
2020A 291 14USU0220M 5033100003,291,2019-2020,2020,A,14USU0220M,5033100003,,,,107,,,,44,,,,63,41.12,44,136.0433
2020A 292 14USU0220M 5093100002,292,2019-2020,2020,A,14USU0220M,5093100002,,,,213,,,,44,,,,169,20.66,44,163.91
2020A 293 14USU0220M 5042000002,293,2019-2020,2020,A,14USU0220M,5042000002,,,,86,,,,44,,,,42,51.16,44,135.26
2020A 294 14USU0220M 5041400032,294,2019-2020,2020,A,14USU0220M,5041400032,,,,91,,,,44,,,,47,48.35,44,147.37
2020A 295 14USU0220M 5092100006,295,2019-2020,2020,A,14USU0220M,5092100006,,,,95,,,,44,,,,51,46.32,44,133.7133
2020A 296 14USU0220M 5041100056,296,2019-2020,2020,A,14USU0220M,5041100056,,,,103,,,,44,,,,59,42.72,44,143.0867
2020A 297 14USU0220M 5094200006,297,2019-2020,2020,A,14USU0220M,5094200006,,,,84,,,,44,,,,40,52.38,44,130.6667
2020A 298 14USU0220M 5031100007,298,2019-2020,2020,A,14USU0220M,5031100007,,,,94,,,,44,,,,50,46.81,44,134.3033
2020A 299 14USU0220M 5091100011,299,2019-2020,2020,A,14USU0220M,5091100011,,,,329,,,,44,,,,285,13.37,44,178.3333
2020A 300 14USU0170V 5033100003,300,2019-2020,2020,A,14USU0170V,5033100003,,,,17,,,,17,,,,0,100.00,35,98.1667
2020A 301 14USU0170V 5042000002,301,2019-2020,2020,A,14USU0170V,5042000002,,,,10,,,,10,,,,0,100.00,35,99.6667
2020A 302 14USU0170V 5081100010,302,2019-2020,2020,A,14USU0170V,5081100010,,,,43,,,,35,,,,8,81.40,35,111.1367
2020A 303 14USU0170V 5041100021,303,2019-2020,2020,A,14USU0170V,5041100021,,,,16,,,,16,,,,0,100.00,35,98.0833
2020A 304 14USU0160O 5033100003,304,2019-2020,2020,A,14USU0160O,5033100003,,,,65,,,,40,,,,25,61.54,40,120.4167
2020A 305 14USU0160O 5061000002,305,2019-2020,2020,A,14USU0160O,5061000002,,,,33,,,,33,,,,0,100.00,40,102.7333
2020A 306 14USU0160O 5071700019,306,2019-2020,2020,A,14USU0160O,5071700019,,,,89,,,,40,,,,49,44.94,40,133.8067
2020A 307 14USU0160O 5062200055,307,2019-2020,2020,A,14USU0160O,5062200055,,,,32,,,,32,,,,0,100.00,40,100.25
2020A 308 14USU0160O 5071400015,308,2019-2020,2020,A,14USU0160O,5071400015,,,,91,,,,40,,,,51,43.96,40,145.88
2020A 309 14USU0160O 5042000002,309,2019-2020,2020,A,14USU0160O,5042000002,,,,56,,,,40,,,,16,71.43,40,117.0833
2020A 310 14USU0160O 5041400032,310,2019-2020,2020,A,14USU0160O,5041400032,,,,61,,,,40,,,,21,65.57,40,122.6367
2020A 311 14USU0160O 5041200028,311,2019-2020,2020,A,14USU0160O,5041200028,,,,34,,,,34,,,,0,100.00,40,96.0833
2020A 312 14USU0160O 5041100056,312,2019-2020,2020,A,14USU0160O,5041100056,,,,50,,,,40,,,,10,80.00,40,117.1733
2020A 313 14USU0160O 5031100007,313,2019-2020,2020,A,14USU0160O,5031100007,,,,96,,,,80,,,,16,83.33,80,110.0033
2020A 314 14USU0160O 5095400006,314,2019-2020,2020,A,14USU0160O,5095400006,,,,172,,,,60,,,,112,34.88,60,149.3233
2020A 315 14USU0160O 5042100117,315,2019-2020,2020,A,14USU0160O,5042100117,,,,51,,,,40,,,,11,78.43,40,109.1333
2020A 316 14USU0150H 5033100003,316,2019-2020,2020,A,14USU0150H,5033100003,,,,21,,,,21,,,,0,100.00,35,92.5733
2020A 317 14USU0150H 5042000002,317,2019-2020,2020,A,14USU0150H,5042000002,,,,19,,,,19,,,,0,100.00,35,109.4
2020A 318 14USU0150H 5041400032,318,2019-2020,2020,A,14USU0150H,5041400032,,,,24,,,,24,,,,0,100.00,35,104.44
2020A 319 14USU0150H 5031100007,319,2019-2020,2020,A,14USU0150H,5031100007,,,,20,,,,20,,,,0,100.00,35,107.15
2020A 320 14USU0150H 5042100117,320,2019-2020,2020,A,14USU0150H,5042100117,,,,7,,,,7,,,,0,100.00,35,95
2020A 321 14USU0190I 5033100003,321,2019-2020,2020,A,14USU0190I,5033100003,,,,56,,,,56,,,,0,100.00,63,98.06
2020A 322 14USU0190I 5073200005,322,2019-2020,2020,A,14USU0190I,5073200005,,,,48,,,,40,,,,8,83.33,40,119.5833
2020A 323 14USU0190I 5061000002,323,2019-2020,2020,A,14USU0190I,5061000002,,,,30,,,,30,,,,0,100.00,31,101.0833
2020A 324 14USU0190I 5062100034,324,2019-2020,2020,A,14USU0190I,5062100034,,,,14,,,,14,,,,0,100.00,15,103.5
2020A 325 14USU0190I 5071000047,325,2019-2020,2020,A,14USU0190I,5071000047,,,,41,,,,31,,,,10,75.61,31,128.4167
2020A 326 14USU0190I 5073100009,326,2019-2020,2020,A,14USU0190I,5073100009,,,,84,,,,80,,,,4,95.24,80,112.3167
2020A 327 14USU0190I 5051100003,327,2019-2020,2020,A,14USU0190I,5051100003,,,,44,,,,40,,,,4,90.91,40,109.9167
2020A 328 14USU0190I 5042000002,328,2019-2020,2020,A,14USU0190I,5042000002,,,,89,,,,89,,,,0,100.00,90,88
2020A 329 14USU0190I 5021000114,329,2019-2020,2020,A,14USU0190I,5021000114,,,,11,,,,11,,,,0,100.00,11,96.25
2020A 330 14USU0190I 5021700002,330,2019-2020,2020,A,14USU0190I,5021700002,,,,15,,,,15,,,,0,100.00,19,112.9167
2020A 331 14USU0190I 5072100049,331,2019-2020,2020,A,14USU0190I,5072100049,,,,36,,,,30,,,,6,83.33,30,107.9167
2020A 332 14USU0190I 5041400032,332,2019-2020,2020,A,14USU0190I,5041400032,,,,120,,,,90,,,,30,75.00,90,124.6667
2020A 333 14USU0190I 5101100015,333,2019-2020,2020,A,14USU0190I,5101100015,,,,63,,,,41,,,,22,65.08,41,118.75
2020A 334 14USU0190I 5021500044,334,2019-2020,2020,A,14USU0190I,5021500044,,,,25,,,,25,,,,0,100.00,28,95.6667
2020A 335 14USU0190I 5092100006,335,2019-2020,2020,A,14USU0190I,5092100006,,,,72,,,,41,,,,31,56.94,41,128.37
2020A 336 14USU0190I 5021500002,336,2019-2020,2020,A,14USU0190I,5021500002,,,,29,,,,29,,,,0,100.00,35,100.6067
2020A 337 14USU0190I 5094200006,337,2019-2020,2020,A,14USU0190I,5094200006,,,,62,,,,40,,,,22,64.52,40,117.25
2020A 338 14USU0190I 5031100007,338,2019-2020,2020,A,14USU0190I,5031100007,,,,58,,,,58,,,,0,100.00,67,100.3333
2020A 339 14USU0190I 5101600013,339,2019-2020,2020,A,14USU0190I,5101600013,,,,33,,,,33,,,,0,100.00,38,95.9167
2020A 340 14USU0190I 5091100011,340,2019-2020,2020,A,14USU0190I,5091100011,,,,372,,,,41,,,,331,11.02,41,174.9567
2020A 341 14USU0200Z 5033100003,341,2019-2020,2020,A,14USU0200Z,5033100003,,,,64,,,,50,,,,14,78.13,50,115.0833
2020A 342 14USU0200Z 5041100007,342,2019-2020,2020,A,14USU0200Z,5041100007,,,,23,,,,23,,,,0,100.00,40,104.3367
2020A 343 14USU0200Z 5071300014,343,2019-2020,2020,A,14USU0200Z,5071300014,,,,22,,,,22,,,,0,100.00,40,105.1067
2020A 344 14USU0200Z 5081300016,344,2019-2020,2020,A,14USU0200Z,5081300016,,,,117,,,,50,,,,67,42.74,50,123.07
2020A 345 14USU0200Z 5042000002,345,2019-2020,2020,A,14USU0200Z,5042000002,,,,59,,,,50,,,,9,84.75,50,110.76
2020A 346 14USU0200Z 5041300007,346,2019-2020,2020,A,14USU0200Z,5041300007,,,,26,,,,26,,,,0,100.00,40,103.4167
2020A 347 14USU0007U 5051100006,347,2019-2020,2020,A,14USU0007U,5051100006,,,,29,,,,29,,,,0,100.00,40,108.3467
2020A 348 14USU0200Z 5041400032,348,2019-2020,2020,A,14USU0200Z,5041400032,,,,47,,,,40,,,,7,85.11,40,116.3667
2020A 349 14USU0200Z 5092100006,349,2019-2020,2020,A,14USU0200Z,5092100006,,,,87,,,,40,,,,47,45.98,40,131.6433
2020A 350 14USU0200Z 5073200010,350,2019-2020,2020,A,14USU0200Z,5073200010,,,,40,,,,40,,,,0,100.00,40,97.2167
2020A 351 14USU0200Z 5051300005,351,2019-2020,2020,A,14USU0200Z,5051300005,,,,30,,,,30,,,,0,100.00,30,96.0833
2020A 352 14USU0200Z 5062100033,352,2019-2020,2020,A,14USU0200Z,5062100033,,,,17,,,,17,,,,0,100.00,30,99.75
2020A 353 14USU0200Z 5094200006,353,2019-2020,2020,A,14USU0200Z,5094200006,,,,44,,,,40,,,,4,90.91,40,107.4767
2020A 354 14USU0200Z 5101600013,354,2019-2020,2020,A,14USU0200Z,5101600013,,,,19,,,,19,,,,0,100.00,30,94.0567
2020A 355 14USU0200Z 4071500002,355,2019-2020,2020,A,14USU0200Z,4071500002,,,,47,,,,40,,,,7,85.11,40,107.25
2020A 356 14USU0221L 5033100003,356,2019-2020,2020,A,14USU0221L,5033100003,,,,47,,,,47,,,,0,100.00,50,99.25
2020A 357 14USU0221L 5071400008,357,2019-2020,2020,A,14USU0221L,5071400008,,,,72,,,,45,,,,27,62.50,45,132.63
2020A 358 14USU0221L 5071300014,358,2019-2020,2020,A,14USU0221L,5071300014,,,,59,,,,45,,,,14,76.27,45,123.4167
2020A 359 14USU0221L 5042400005,359,2019-2020,2020,A,14USU0221L,5042400005,,,,46,,,,45,,,,1,97.83,45,104.01
2020A 360 14USU0221L 5031100007,360,2019-2020,2020,A,14USU0221L,5031100007,,,,23,,,,23,,,,0,100.00,45,98.51
2020A 361 14USU0222K 5033100003,361,2019-2020,2020,A,14USU0222K,5033100003,,,,23,,,,23,,,,0,100.00,45,107.9167
2020A 362 14USU0222K 5042000002,362,2019-2020,2020,A,14USU0222K,5042000002,,,,45,,,,45,,,,0,100.00,45,102.58
2020A 363 14USU0222K 5022200040,363,2019-2020,2020,A,14USU0222K,5022200040,,,,121,,,,45,,,,76,37.19,45,146.8233
2020A 364 14USU0002Z 5033100003,364,2019-2020,2020,A,14USU0002Z,5033100003,,,,27,,,,27,,,,0,100.00,40,98.85
