name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2023-2024 14USU0011G 5051200024 Dual,1,2023-2024,14USU0011G,5051200024,Dual,12,12,,24,0,0,,0,0,0,,0
2 2023-2024 14USU0011G 5071100005 Dual,2,2023-2024,14USU0011G,5071100005,Dual,12,13,,25,1,2,,3,0,0,,0
3 2023-2024 14USU0011G 5071300147 Dual,3,2023-2024,14USU0011G,5071300147,Dual,23,1,,24,0,0,,0,0,0,,0
4 2023-2024 14MMS0607X BGAI Escolarizada,4,2023-2024,14MMS0607X,BGAI,Escolarizada,75,63,,138,1,2,,3,0,0,,0
5 2023-2024 14MMS0607X BGC Escolarizada,5,2023-2024,14MMS0607X,BGC,Escolarizada,1269,1446,,2715,30,22,,52,4,5,,9
6 2023-2024 14MMS0608W BGAI Escolarizada,6,2023-2024,14MMS0608W,BGAI,Escolarizada,135,88,,223,1,0,,1,1,2,,3
7 2023-2024 14MMS0608W BGC Escolarizada,7,2023-2024,14MMS0608W,BGC,Escolarizada,2074,2151,,4225,30,35,,65,3,7,,10
8 2023-2024 14MMS0609V BGAI Escolarizada,8,2023-2024,14MMS0609V,BGAI,Escolarizada,60,58,,118,1,1,,2,0,0,,0
9 2023-2024 14MMS0609V BGC Escolarizada,9,2023-2024,14MMS0609V,BGC,Escolarizada,1106,1404,,2510,20,16,,36,3,1,,4
10 2023-2024 14MMS0610K BGAI Escolarizada,10,2023-2024,14MMS0610K,BGAI,Escolarizada,76,60,,136,1,0,,1,0,0,,0
11 2023-2024 14MMS0610K BGC Escolarizada,11,2023-2024,14MMS0610K,BGC,Escolarizada,1046,1234,,2280,15,18,,33,1,3,,4
12 2023-2024 14MMS0611J BGAI Escolarizada,12,2023-2024,14MMS0611J,BGAI,Escolarizada,23,26,,49,0,0,,0,0,0,,0
13 2023-2024 14MMS0611J BGC Escolarizada,13,2023-2024,14MMS0611J,BGC,Escolarizada,1029,1636,,2665,12,21,,33,0,5,,5
14 2023-2024 14MMS0612I BGAI Escolarizada,14,2023-2024,14MMS0612I,BGAI,Escolarizada,11,9,,20,0,0,,0,0,0,,0
15 2023-2024 14MMS0612I BGC Escolarizada,15,2023-2024,14MMS0612I,BGC,Escolarizada,2449,2993,,5442,34,43,,77,7,10,,17
16 2023-2024 14MMS0613H BGC Escolarizada,16,2023-2024,14MMS0613H,BGC,Escolarizada,2590,2920,,5510,56,51,,107,16,20,,36
17 2023-2024 14MMS0614G 3101600003 Escolarizada,17,2023-2024,14MMS0614G,3101600003,Escolarizada,234,518,,752,8,7,,15,0,2,,2
18 2023-2024 14MMS0614G BGC Escolarizada,18,2023-2024,14MMS0614G,BGC,Escolarizada,2482,2985,,5467,34,58,,92,3,5,,8
19 2023-2024 14MMS0615F BGAI Escolarizada,19,2023-2024,14MMS0615F,BGAI,Escolarizada,78,81,,159,3,2,,5,0,0,,0
20 2023-2024 14MMS0615F BGC Escolarizada,20,2023-2024,14MMS0615F,BGC,Escolarizada,1146,1628,,2774,15,27,,42,1,2,,3
21 2023-2024 14MMS0616E 2071100002 Escolarizada,21,2023-2024,14MMS0616E,2071100002,Escolarizada,255,15,,270,2,1,,3,0,0,,0
22 2023-2024 14MMS0616E 2071400001 Escolarizada,22,2023-2024,14MMS0616E,2071400001,Escolarizada,181,281,,462,3,3,,6,0,0,,0
23 2023-2024 14MMS0616E 2092100004 Escolarizada,23,2023-2024,14MMS0616E,2092100004,Escolarizada,264,618,,882,5,8,,13,0,1,,1
24 2023-2024 14MMS0616E 3081100003 Escolarizada,24,2023-2024,14MMS0616E,3081100003,Escolarizada,229,227,,456,2,3,,5,0,0,,0
25 2023-2024 14MMS0616E BGC Escolarizada,25,2023-2024,14MMS0616E,BGC,Escolarizada,364,535,,899,4,5,,9,1,0,,1
26 2023-2024 14MMS0617D BGC Escolarizada,26,2023-2024,14MMS0617D,BGC,Escolarizada,511,626,,1137,4,10,,14,0,0,,0
27 2023-2024 14MMS0618C BGAI Escolarizada,27,2023-2024,14MMS0618C,BGAI,Escolarizada,15,19,,34,0,1,,1,0,0,,0
28 2023-2024 14MMS0618C BGC Escolarizada,28,2023-2024,14MMS0618C,BGC,Escolarizada,776,901,,1677,6,9,,15,0,0,,0
29 2023-2024 14MMS0619B BGAI Escolarizada,29,2023-2024,14MMS0619B,BGAI,Escolarizada,21,19,,40,0,0,,0,0,0,,0
30 2023-2024 14MMS0619B BGC Escolarizada,30,2023-2024,14MMS0619B,BGC,Escolarizada,698,831,,1529,22,16,,38,1,1,,2
31 2023-2024 14MMS0620R BGC Escolarizada,31,2023-2024,14MMS0620R,BGC,Escolarizada,210,312,,522,0,0,,0,0,0,,0
32 2023-2024 14MMS0621Q BGC Escolarizada,32,2023-2024,14MMS0621Q,BGC,Escolarizada,850,969,,1819,16,21,,37,5,3,,8
33 2023-2024 14MMS0622P BGC Escolarizada,33,2023-2024,14MMS0622P,BGC,Escolarizada,248,271,,519,3,2,,5,0,0,,0
34 2023-2024 14MMS0623O BGAI Escolarizada,34,2023-2024,14MMS0623O,BGAI,Escolarizada,101,94,,195,2,0,,2,0,0,,0
35 2023-2024 14MMS0623O BGC Escolarizada,35,2023-2024,14MMS0623O,BGC,Escolarizada,1912,2247,,4159,24,37,,61,1,4,,5
36 2023-2024 14MMS0624N BGC Escolarizada,36,2023-2024,14MMS0624N,BGC,Escolarizada,327,430,,757,1,2,,3,0,1,,1
37 2023-2024 14MMS0625M BGAI Escolarizada,37,2023-2024,14MMS0625M,BGAI,Escolarizada,10,25,,35,0,0,,0,0,0,,0
38 2023-2024 14MMS0625M BGC Escolarizada,38,2023-2024,14MMS0625M,BGC,Escolarizada,305,351,,656,9,3,,12,11,18,,29
39 2023-2024 14MMS0626L BGC Escolarizada,39,2023-2024,14MMS0626L,BGC,Escolarizada,914,1183,,2097,24,26,,50,3,6,,9
40 2023-2024 14MMS0627K BGAI Escolarizada,40,2023-2024,14MMS0627K,BGAI,Escolarizada,32,32,,64,0,0,,0,0,0,,0
41 2023-2024 14MMS0627K BGC Escolarizada,41,2023-2024,14MMS0627K,BGC,Escolarizada,301,380,,681,0,1,,1,0,1,,1
42 2023-2024 14MMS0628J BGC Escolarizada,42,2023-2024,14MMS0628J,BGC,Escolarizada,788,1025,,1813,19,17,,36,5,5,,10
43 2023-2024 14MMS0629I BGC Escolarizada,43,2023-2024,14MMS0629I,BGC,Escolarizada,844,1106,,1950,14,14,,28,2,4,,6
44 2023-2024 14MMS0630Y BGAI Escolarizada,44,2023-2024,14MMS0630Y,BGAI,Escolarizada,21,11,,32,0,1,,1,0,0,,0
45 2023-2024 14MMS0630Y BGC Escolarizada,45,2023-2024,14MMS0630Y,BGC,Escolarizada,1052,1132,,2184,13,9,,22,1,4,,5
46 2023-2024 14MMS0631X BGC Escolarizada,46,2023-2024,14MMS0631X,BGC,Escolarizada,1624,1754,,3378,26,20,,46,9,17,,26
47 2023-2024 14MMS0632W 3042100026 Escolarizada,47,2023-2024,14MMS0632W,3042100026,Escolarizada,73,82,,155,1,0,,1,0,0,,0
48 2023-2024 14MMS0632W BGC Escolarizada,48,2023-2024,14MMS0632W,BGC,Escolarizada,1072,1269,,2341,18,30,,48,1,3,,4
49 2023-2024 14MMS0633V BGC Escolarizada,49,2023-2024,14MMS0633V,BGC,Escolarizada,265,336,,601,9,7,,16,3,1,,4
50 2023-2024 14MMS0634U BGC Escolarizada,50,2023-2024,14MMS0634U,BGC,Escolarizada,1213,1528,,2741,20,30,,50,4,4,,8
51 2023-2024 14MMS0635T BGC Escolarizada,51,2023-2024,14MMS0635T,BGC,Escolarizada,648,708,,1356,6,9,,15,1,1,,2
52 2023-2024 14MMS0636S BGC Escolarizada,52,2023-2024,14MMS0636S,BGC,Escolarizada,1518,1538,,3056,22,28,,50,4,8,,12
53 2023-2024 14MMS0637R BGC Escolarizada,53,2023-2024,14MMS0637R,BGC,Escolarizada,439,509,,948,5,1,,6,0,0,,0
54 2023-2024 14MMS0638Q BGC Escolarizada,54,2023-2024,14MMS0638Q,BGC,Escolarizada,380,485,,865,2,2,,4,0,0,,0
55 2023-2024 14MMS0639P BGC Escolarizada,55,2023-2024,14MMS0639P,BGC,Escolarizada,278,284,,562,5,1,,6,1,1,,2
56 2023-2024 14MMS0640E BGC Escolarizada,56,2023-2024,14MMS0640E,BGC,Escolarizada,667,671,,1338,8,12,,20,5,0,,5
57 2023-2024 14MMS0641D BGC Escolarizada,57,2023-2024,14MMS0641D,BGC,Escolarizada,223,291,,514,3,4,,7,0,0,,0
58 2023-2024 14MMS0642C BGC Escolarizada,58,2023-2024,14MMS0642C,BGC,Escolarizada,294,340,,634,8,5,,13,0,1,,1
59 2023-2024 14MMS0643B BGAI Escolarizada,59,2023-2024,14MMS0643B,BGAI,Escolarizada,24,38,,62,0,0,,0,0,0,,0
60 2023-2024 14MMS0643B BGC Escolarizada,60,2023-2024,14MMS0643B,BGC,Escolarizada,466,500,,966,6,2,,8,0,2,,2
61 2023-2024 14MMS0644A BGC Escolarizada,61,2023-2024,14MMS0644A,BGC,Escolarizada,400,423,,823,6,8,,14,3,0,,3
62 2023-2024 14MMS0645Z 3021700001 Escolarizada,62,2023-2024,14MMS0645Z,3021700001,Escolarizada,153,182,,335,0,3,,3,0,0,,0
63 2023-2024 14MMS0645Z 3042100001 Escolarizada,63,2023-2024,14MMS0645Z,3042100001,Escolarizada,238,304,,542,4,3,,7,0,0,,0
64 2023-2024 14MMS0645Z BGAI Escolarizada,64,2023-2024,14MMS0645Z,BGAI,Escolarizada,73,72,,145,1,0,,1,3,0,,3
65 2023-2024 14MMS0645Z BGC Escolarizada,65,2023-2024,14MMS0645Z,BGC,Escolarizada,1452,1966,,3418,24,24,,48,4,4,,8
66 2023-2024 14MMS0646Z BGC Escolarizada,66,2023-2024,14MMS0646Z,BGC,Escolarizada,3566,2852,,6418,42,49,,91,12,10,,22
67 2023-2024 14MMS0647Y BGAI Escolarizada,67,2023-2024,14MMS0647Y,BGAI,Escolarizada,74,77,,151,1,0,,1,1,0,,1
68 2023-2024 14MMS0647Y BGC Escolarizada,68,2023-2024,14MMS0647Y,BGC,Escolarizada,1510,1732,,3242,33,14,,47,3,3,,6
69 2023-2024 14MMS0648X BGAI Escolarizada,69,2023-2024,14MMS0648X,BGAI,Escolarizada,18,10,,28,0,0,,0,0,0,,0
70 2023-2024 14MMS0648X BGC Escolarizada,70,2023-2024,14MMS0648X,BGC,Escolarizada,1648,1941,,3589,24,37,,61,5,6,,11
71 2023-2024 14MMS0649W BGAI Escolarizada,71,2023-2024,14MMS0649W,BGAI,Escolarizada,129,88,,217,1,0,,1,0,0,,0
72 2023-2024 14MMS0649W BGC Escolarizada,72,2023-2024,14MMS0649W,BGC,Escolarizada,1986,2458,,4444,23,35,,58,8,6,,14
73 2023-2024 14MMS0650L 3093100005 Escolarizada,73,2023-2024,14MMS0650L,3093100005,Escolarizada,194,259,,453,3,2,,5,0,1,,1
74 2023-2024 14MMS0650L 3095300007 Escolarizada,74,2023-2024,14MMS0650L,3095300007,Escolarizada,184,337,,521,3,9,,12,1,2,,3
75 2023-2024 14MMS0650L BGAI Escolarizada,75,2023-2024,14MMS0650L,BGAI,Escolarizada,86,81,,167,0,0,,0,0,0,,0
76 2023-2024 14MMS0650L BGC Escolarizada,76,2023-2024,14MMS0650L,BGC,Escolarizada,1610,1695,,3305,19,22,,41,3,2,,5
77 2023-2024 14MMS0651K 3101600003 Escolarizada,77,2023-2024,14MMS0651K,3101600003,Escolarizada,107,149,,256,3,2,,5,0,1,,1
78 2023-2024 14MMS0651K BGC Escolarizada,78,2023-2024,14MMS0651K,BGC,Escolarizada,526,633,,1159,10,12,,22,2,2,,4
79 2023-2024 14MMS0652J BGC Escolarizada,79,2023-2024,14MMS0652J,BGC,Escolarizada,303,356,,659,11,5,,16,0,1,,1
80 2023-2024 14MMS0653I BGC Escolarizada,80,2023-2024,14MMS0653I,BGC,Escolarizada,462,590,,1052,3,4,,7,1,0,,1
81 2023-2024 14MMS0654H BGAI Escolarizada,81,2023-2024,14MMS0654H,BGAI,Escolarizada,74,75,,149,0,0,,0,0,0,,0
82 2023-2024 14MMS0654H BGC Escolarizada,82,2023-2024,14MMS0654H,BGC,Escolarizada,672,1004,,1676,13,11,,24,2,2,,4
83 2023-2024 14MMS0655G BGC Escolarizada,83,2023-2024,14MMS0655G,BGC,Escolarizada,697,851,,1548,18,30,,48,2,6,,8
84 2023-2024 14MMS0656F BGC Escolarizada,84,2023-2024,14MMS0656F,BGC,Escolarizada,205,227,,432,3,2,,5,0,0,,0
85 2023-2024 14MMS0657E BGAI Escolarizada,85,2023-2024,14MMS0657E,BGAI,Escolarizada,466,460,,926,7,1,,8,1,1,,2
86 2023-2024 14MMS0657E BGC Escolarizada,86,2023-2024,14MMS0657E,BGC,Escolarizada,1479,1772,,3251,18,26,,44,2,4,,6
